dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
1,empty,distance_evidential,0.6380909389963084,0.5041434262948207,0.5955302104227159,0.196515127200514,0.17385935713939454,0.07016303792411088,0.6498494159296072,0.6161858778978699,0.7691368045493744,0.3427162587093891
1,empty,standard_disagreement,0.5589864395628495,0.5486852589641434,0.593933969634303,0.11319737984233479,0.1970348521250491,0.07016303792411088,0.6889858748850882,0.659694484076157,1.0332467103920793,0.18881710462643123
1,sparse,distance_evidential,0.9125596695785664,0.28358565737051794,0.8483516403735529,0.32788630221902304,0.09329820473950887,0.05045498130645835,0.707491557487241,0.6935606551735618,0.5421103014046066,0.2346764672497459
1,sparse,standard_disagreement,0.9671464600314339,0.23593625498007967,0.9604419643508509,0.351268127559126,0.09199189236092392,0.05045498130645835,0.9125380898760501,0.9088388700625037,-0.22945425041190398,0.13152380779163064
2,empty,distance_evidential,0.9685879365079366,0.21878095238095238,0.9598322322449602,0.267624274647095,0.1177998602194692,0.0645762335960051,0.7808235809258761,0.7947437703553953,0.5848414376567828,0.20905685351259706
2,empty,standard_disagreement,0.6556768677248677,0.6370285714285714,0.528313213035537,0.16042202705075176,0.1262642702230853,0.0645762335960051,0.42981794131498235,0.4175733280656197,-0.015265227513408126,0.2134888166826446
2,sparse,distance_evidential,0.9256150687830689,0.24723809523809526,0.8534825605089233,0.09495013156945051,0.11225081887624155,0.05648719487155529,0.6178710278739458,0.6119407365713312,0.5543222124157682,0.25059438124832667
2,sparse,standard_disagreement,0.682298582010582,0.6513523809523809,0.565092319052243,0.09072231175285028,0.11329223614910561,0.05648719487155529,0.3814381217140028,0.37326017199340283,-0.06945140729591627,0.20833077799454963
3,empty,distance_evidential,0.7563207524985303,0.6549841269841269,0.5606917801636324,0.25242622149144706,0.1553325290311074,0.09170808814291456,0.3075216341163032,0.29492928941679397,0.8018297901376757,0.28837056515281884
3,empty,standard_disagreement,0.5901044091710759,0.6870476190476191,0.4121106484649183,0.2506112711535807,0.15385466817678847,0.09170808814291456,0.3630024792220666,0.3390546182130611,0.31508784595938827,0.23490662535588847
3,sparse,distance_evidential,0.5597286302175192,0.8258095238095238,0.39251393743195423,0.23499376629146526,0.13905876215153778,0.08092663039556194,0.19130102874621038,0.17902002633130765,0.7680832777334021,0.3181566738556559
3,sparse,standard_disagreement,0.5023308641975308,0.7696825396825396,0.32265973276798304,0.2926098428119467,0.13290083602554684,0.08092663039556194,0.3044748891645519,0.281451099255766,0.25635002350465824,0.25762853668801783
4,empty,distance_evidential,0.758244126984127,0.6104285714285714,0.5405223259122484,0.2925150809150809,0.18336875532945385,0.10645464156096004,0.27576938229730674,0.2604766549997502,0.947331811920244,0.3051579119486694
4,empty,standard_disagreement,0.628159365079365,0.6803809523809524,0.3619712541461192,0.3342537266537267,0.17705756452937554,0.10645464156096004,0.23264838910215743,0.21168049895823735,0.5252574997585588,0.23686236169563185
4,sparse,distance_evidential,0.6247901587301588,0.7860952380952381,0.3983340452072876,0.2402923750923751,0.17640564342536927,0.10139030436909534,0.14349101013054477,0.13221292583435038,0.9285376711316845,0.3194344486922898
4,sparse,standard_disagreement,0.5354703174603175,0.7478571428571429,0.29180257814164556,0.3211812987812988,0.1680009083779114,0.10139030436909534,0.196533306297467,0.17527458670007123,0.4840560540090962,0.2590112416041585
5,empty,distance_evidential,0.531876507936508,0.748952380952381,0.36055525433662605,0.2696715380397766,0.21374313868067235,0.11708407839816906,0.28686258690122485,0.26360665992725835,0.9775198060788145,0.33895941415895453
5,empty,standard_disagreement,0.30372365079365077,0.9347619047619048,0.2327102559664683,0.22748351834595318,0.2152354672841614,0.11708407839816906,0.3652623824465203,0.35321246462355593,0.6573006959359803,0.3007836060530922
5,sparse,distance_evidential,0.4170992063492064,0.8667142857142858,0.3111048285931924,0.3055100877743833,0.18871894499247613,0.10456320177623898,0.3147439881793065,0.30061476443019747,0.9505260016968109,0.35186307596173017
5,sparse,standard_disagreement,0.2820030158730159,0.9453333333333334,0.22623751543584766,0.34523272390408005,0.18198572703194255,0.10456320177623898,0.37931772965554,0.3696947367274093,0.6018360011063218,0.3057284599052903
6,empty,distance_evidential,0.4706811111111111,0.7847619047619048,0.3344739425221496,0.18668238422077507,0.23337314572785814,0.12088023916559892,0.2985518159029167,0.2730331156954786,0.9978138366311488,0.33851236051914774
6,empty,standard_disagreement,0.25803873015873013,0.954047619047619,0.21632437496129742,0.1210572531862295,0.2382357944749973,0.12088023916559892,0.388306220819752,0.3774937332529068,0.725245841993969,0.3056514796898766
6,sparse,distance_evidential,0.35929841269841273,0.8705714285714286,0.2861364490737407,0.283599741999742,0.1898629448646209,0.09679326954964533,0.3914042736659498,0.37969270534727334,0.9709994745830114,0.3615207835810706
6,sparse,standard_disagreement,0.2112063492063492,0.9716666666666666,0.20303192246803686,0.33223492863492865,0.18130650682081148,0.09679326954964533,0.42085269251584173,0.40932633033915095,0.6530267483491572,0.32284891676172567
7,empty,distance_evidential,0.7194898412698413,0.5656190476190477,0.5478659861484662,0.14105703265703265,0.22003663856511574,0.10282935402724801,0.31714113579483755,0.29783623982267937,1.0256475899898372,0.35165445968732273
7,empty,standard_disagreement,0.4928639682539683,0.8104761904761905,0.2997744913817956,0.12481788041788042,0.22176024582715803,0.10282935402724801,0.1636235038588046,0.14624409419786302,0.759030484122363,0.2674625290402763
7,sparse,distance_evidential,0.586656507936508,0.7828571428571429,0.3697108870484023,0.0988023264023264,0.20911035279066795,0.09236206558785615,0.16330100466868794,0.14927230988170767,1.0096934281071226,0.36940803874818007
