func_name,dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
ackley_2d,2,empty,distance_evidential,0.9306205291005292,0.32171428571428573,0.8970636218878287,0.5349750439445626,0.1541439997566461,0.09550882599732398,0.6896866603647507,0.6920567267352103,0.7006885310623265,0.2711009447157164
ackley_2d,2,empty,standard_disagreement,0.7176004232804234,0.5794285714285714,0.4603211017112919,0.2723905009430869,0.19990439288256007,0.09550882599732398,0.4297610209118389,0.3997401293823962,0.6578945087407277,0.20203308325798774
ackley_2d,2,sparse,distance_evidential,0.9330912169312169,0.2632380952380952,0.8270437919662716,0.2139939048384633,0.1327053076406288,0.06774235720846274,0.6332520027817979,0.617852990535366,0.5541699000793475,0.26275711628758724
ackley_2d,2,sparse,standard_disagreement,0.8995140740740741,0.36723809523809525,0.8130222665261941,0.20094714043487388,0.13405139503296942,0.06774235720846274,0.5821817955573961,0.5634874624678065,0.05913804571212208,0.13951993766020152
branin,2,empty,distance_evidential,0.9764245502645503,0.14476190476190476,0.9567242208309373,0.026136894666244453,0.08229768325885675,0.03798128885888493,0.7719385085932694,0.7719459610808552,0.5410864992858049,0.21987137225962625
branin,2,empty,standard_disagreement,0.5640478306878307,0.827047619047619,0.31136501593305144,0.06247394625830037,0.08096021530099373,0.03798128885888493,0.20763044276344908,0.18835668527095353,-0.21719229414419866,0.23644639422953798
branin,2,sparse,distance_evidential,0.9434764021164022,0.236,0.8787462312039954,0.021291275980330128,0.08270909965064119,0.038468908913905184,0.6111668794821835,0.6005421877193416,0.5301374026525607,0.27264946905411686
branin,2,sparse,standard_disagreement,0.37630433862433865,0.8843809523809524,0.2318611528426171,0.07969661318978807,0.08041802668646908,0.038468908913905184,0.23100350719085946,0.20316027208296933,-0.2570308193274172,0.2693293937056315
rosenbrock_2d,2,empty,distance_evidential,0.8373417989417989,0.6220952380952381,0.7317016992546421,0.1488321565000209,0.08338781874336931,0.04138714138318085,0.3665393180992425,0.36897624966130393,0.5194114461966086,0.3035888384024992
rosenbrock_2d,2,empty,standard_disagreement,0.4049921693121693,0.8940952380952382,0.24158529091179518,0.10780540331701316,0.08622126702201206,0.04138714138318085,0.23349980789488164,0.20639969535504304,-0.25080969214793913,0.2848649791933696
rosenbrock_2d,2,sparse,distance_evidential,0.854141798941799,0.452952380952381,0.7005145184300156,0.1044288719111313,0.08299296024982294,0.04025053647332963,0.38589905920330214,0.37269454809768154,0.5216023303898816,0.3239259694656099
rosenbrock_2d,2,sparse,standard_disagreement,0.40319492063492063,0.8765714285714286,0.2396348712250395,0.14362114254406277,0.0814032294022092,0.04025053647332963,0.23346018936323382,0.20432860086520632,-0.25881255376954815,0.2861825774887795
hartmann3,3,empty,distance_evidential,0.8192569077013522,0.6126984126984127,0.6521508362333053,0.21261944394427182,0.10603988557641386,0.05328141993967463,0.30433892258659134,0.2944347079723134,0.6562727002429076,0.296228840190394
