dim,func_name,gap_type,approach,auroc,aupr,spearman,aurc,oracle_aurc,jsd,mi,brier,nlpd
1,damped_osc,empty,chen_variance,0.17890952572410226,0.2958042967613753,-0.3307478291363402,0.3142149278097386,0.0653736699889044,0.5570635251066175,0.5075571429006195,0.271025774772803,2.0495239617517624
1,damped_osc,empty,likelihood_credal,0.44413956232736157,0.3998346001470586,-0.017690785990788764,0.2194900762251276,0.0653736699889044,0.6854275109046853,0.6377423233093925,0.2466469270997273,0.6152332382170187
1,damped_osc,empty,proximity_auto_lambda,0.42332635382454453,0.37391628055631493,-0.045450831566473525,0.22377447078250393,0.0653736699889044,0.7811151757970066,0.7391356077939122,0.31959317617602434,0.6943395936258846
1,damped_osc,empty,proximity_b,0.36839796776197964,0.34404947417999304,-0.11011501967070068,0.24540770934058317,0.0653736699889044,0.7704024676374549,0.7253527802678477,0.3364486078989138,0.7928496069091463
1,damped_osc,empty,proximity_bc,0.38609650519808053,0.35318152270135983,-0.08902140748850954,0.23636333263416454,0.0653736699889044,0.7756362710157697,0.7328395981068133,0.3281873094107148,0.7722609007749212
1,damped_osc,empty,shaker_entropy,0.24124994125725147,0.2898375886634528,-0.24996328300147957,0.2795663378933481,0.0653736699889044,0.7289599385552539,0.6866422256160567,0.27003050923214783,1.3634865388039952
1,damped_osc,empty,smac3_variance,0.18865821119192952,0.2981686719041754,-0.3170736837605984,0.30810810569768016,0.0653736699889044,0.5230720072793397,0.47626732921557174,0.2695456904172905,1.9753234762067744
1,damped_osc,empty,standard_disagreement,0.18865821119192952,0.2981686719041754,-0.3170736837605984,0.30810810569768016,0.0653736699889044,0.5230720072793397,0.47626732921557174,0.2695456904172868,1.9753234762062957
1,damped_osc,empty,standard_proximity,0.2955099653809402,0.30765239346621703,-0.208258773912368,0.28056019261196047,0.0653736699889044,0.748366218637921,0.7072081953126134,0.3561394036239212,0.8451838093220613
1,damped_osc,sparse,chen_variance,0.9312031037057537,0.9069376430343958,0.38374405059794786,0.09632443810077433,0.05319853336183045,0.8156051524740465,0.8006895611309259,0.16864578079488934,-0.18285325606146924
1,damped_osc,sparse,likelihood_credal,0.9677123746168668,0.9676758711525968,0.40929834929893627,0.0943344552670088,0.05319853336183045,0.9065969991331498,0.9052159728003678,0.08002068050586529,0.2167340940896221
1,damped_osc,sparse,proximity_auto_lambda,0.963874515045976,0.9569130592259201,0.41436836944625866,0.09517497347715495,0.05319853336183045,0.9182904579484007,0.9143559969364248,0.09525010711774307,0.07207338056600411
1,damped_osc,sparse,proximity_b,0.9522251753144696,0.9508798688790681,0.4125646971542434,0.09419704061047965,0.05319853336183045,0.8976781683105756,0.8911378908521522,0.12052362089707026,0.015106701164319586
1,damped_osc,sparse,proximity_bc,0.9621409512670158,0.9565049848070668,0.41337638702531126,0.09498026140649267,0.05319853336183045,0.921620160678161,0.9176973217757626,0.09946720388338835,0.022668672487736706
1,damped_osc,sparse,shaker_entropy,0.9527473330792166,0.9504878480452074,0.39895074708557027,0.09499375405327395,0.05319853336183045,0.8634179679115919,0.858859579902998,0.11656934854180499,-0.09201992530864397
1,damped_osc,sparse,smac3_variance,0.9348686512142779,0.9112223053904212,0.38873432810320263,0.09595597444606443,0.05319853336183045,0.8286871918673759,0.8169657503221487,0.16695818991244038,-0.18385787961675465
1,damped_osc,sparse,standard_disagreement,0.9348686512142779,0.9112223053904212,0.38873432810320263,0.09595597444606443,0.05319853336183045,0.8286871918673759,0.8169657503221487,0.16695818991244046,-0.18385787961675398
1,damped_osc,sparse,standard_proximity,0.9772861372335038,0.9725979383423644,0.4118201029836485,0.09550528517240407,0.05319853336183045,0.9326883741295002,0.926751535050169,0.13088802617235237,0.007746337304558569
1,poly,empty,chen_variance,0.37870275124926245,0.4174719984390244,-0.08028588525638791,0.1330274076744904,0.05042185582753183,0.6875526315486304,0.641012788034393,0.24124299437916932,-0.2298620430815658
1,poly,empty,likelihood_credal,0.5997060251784474,0.522856803915584,0.07835208666945725,0.11607365407981932,0.05042185582753183,0.8185723490609054,0.7814577413155336,0.30480632310615113,0.047353341233443424
1,poly,empty,proximity_auto_lambda,0.41038206283646544,0.39562290965309826,-0.07011508497509118,0.12900377187275278,0.05042185582753183,0.7830804319700162,0.7399081315885324,0.3355011926125397,-0.06252594648013379
1,poly,empty,proximity_b,0.4049202926172114,0.39172624729638655,-0.08354796467115588,0.13024154824460193,0.05042185582753183,0.826032774670268,0.7861089098500645,0.3524654141969618,-0.08083360772139025
1,poly,empty,proximity_bc,0.45095372115731047,0.4178339227476234,-0.036225370066449984,0.12447052759148947,0.05042185582753183,0.8176330573584567,0.7771162621760689,0.33379679475617535,-0.07901932304214292
1,poly,empty,shaker_entropy,0.3707241806039277,0.38128389161609755,-0.10602732510994155,0.13467032041430174,0.05042185582753183,0.8322346439143333,0.7971431986419347,0.312060195650857,-0.21284964815667745
1,poly,empty,smac3_variance,0.35881376199004766,0.4046539803058154,-0.09217330243401174,0.13477034924902587,0.05042185582753183,0.6574683223781292,0.6106738716203355,0.24014070259550074,-0.23228905181319773
1,poly,empty,standard_disagreement,0.35881376199004766,0.4046539803058154,-0.09217330243401174,0.13477034924902587,0.05042185582753183,0.6574683223781292,0.6106738716203355,0.24014070259549936,-0.2322890518131995
1,poly,empty,standard_proximity,0.4404322421976576,0.41292582771408004,-0.045036097530824146,0.12738638444174033,0.05042185582753183,0.8057719563885933,0.7683871682127776,0.3937051777161465,-0.08827411231777048
1,poly,sparse,chen_variance,0.9302449442074429,0.9361021214483084,0.12984419695827032,0.08613695121264191,0.041881283096937456,0.8931527345544923,0.8885612722753395,0.11923480374202503,-0.38317788016715054
1,poly,sparse,likelihood_credal,0.9381974069645402,0.9291918548393607,0.15346818560773642,0.08444038819192065,0.041881283096937456,0.8484493791400618,0.842899884448862,0.15518011076057303,0.05552962093140823
1,poly,sparse,proximity_auto_lambda,0.7797303577302847,0.6662256247358815,0.06275598542011684,0.08765229724091562,0.041881283096937456,0.7890675869438386,0.762249885705708,0.2862527043709848,-0.08100665407164667
1,poly,sparse,proximity_b,0.7421846036561487,0.6033337856248028,0.053637667808912486,0.08818034309867515,0.041881283096937456,0.8014603508442809,0.7740671310772523,0.31796376375538477,-0.1454801096470508
1,poly,sparse,proximity_bc,0.8174849749103194,0.7179631751846233,0.07375436403497677,0.08731729267295743,0.041881283096937456,0.8034513791588667,0.7775433030954291,0.2803590572731089,-0.13149974551742566
1,poly,sparse,shaker_entropy,0.9329601645841274,0.9350856172899477,0.13591696739453707,0.0854455257576071,0.041881283096937456,0.8854088544335722,0.8782088744265666,0.11497313275170451,-0.29039898683648524
1,poly,sparse,smac3_variance,0.9320881611169999,0.9374531732775664,0.13018084816732806,0.08572114218805625,0.041881283096937456,0.8757150065817714,0.870332925392696,0.11752247252406982,-0.38361509314791975
1,poly,sparse,standard_disagreement,0.9320881611169999,0.9374531732775664,0.13018084816732806,0.08572114218805625,0.041881283096937456,0.8757150065817714,0.870332925392696,0.11752247252406901,-0.3836150931479253
1,poly,sparse,standard_proximity,0.8081957882754696,0.7230390807301268,0.08859053216843467,0.08753833359184024,0.041881283096937456,0.7716118152011934,0.7463668209606737,0.34372021256989516,-0.1528835620914419
