dim,gap_type,approach,auroc,auroc,aupr,aupr,spearman,spearman,aurc,aurc,oracle_aurc,oracle_aurc,jsd,jsd,mi,mi,brier,brier,nlpd,nlpd
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem
1,empty,chen_variance,0.5707632927530184,0.06304235986311685,0.5457042568315138,0.05247165221133375,0.21804876916510066,0.08526719127777667,0.22074651051957175,0.01991654641080949,0.10670485081953408,0.01503732786791255,0.601538501183966,0.05795543764690113,0.5725971412968937,0.0581997137213289,0.1996949244704289,0.015754961087332032,0.7537945531900194,0.17571621534477236
1,empty,likelihood_credal,0.6761549355498461,0.04673634483943577,0.5769477252482772,0.04917537084068327,0.34371483070512154,0.06704579311467966,0.19122213839341015,0.01733433826958093,0.10670485081953408,0.01503732786791255,0.6570276484832916,0.06037978773867697,0.6304772851163236,0.059985171745392335,0.23241395369111068,0.014868071747499089,0.5585294595048691,0.08334892898908824
1,empty,proximity_auto_lambda,0.5714992799548794,0.04104873723016591,0.47443444838962273,0.0335636888968619,0.1882904168701994,0.06328338207112143,0.22459545325861333,0.01835294485993699,0.10670485081953408,0.01503732786791255,0.671611632165453,0.048475078055640525,0.6387295681382893,0.04723592091690014,0.3023187401658244,0.009793846540011685,0.8945245403371208,0.32012798064287395
1,empty,proximity_b,0.5531026068893704,0.042121596318559544,0.4566019723587556,0.030648932852766597,0.1659225012250455,0.06501098006765942,0.22956776818721755,0.01785667107810958,0.10670485081953408,0.01503732786791255,0.6913741333416319,0.048854596652765925,0.6600013556712587,0.047726737566154975,0.31537189920379655,0.00913972082377721,0.6205190775893988,0.09103280662090744
1,empty,proximity_bc,0.5733538547858014,0.04002759760127779,0.47391729863349885,0.033134285200981925,0.18730228641969934,0.062366675659409,0.22448679710048447,0.018096464772359884,0.10670485081953408,0.01503732786791255,0.6766724093437678,0.049231262501414436,0.6444651317418846,0.04794138424283126,0.3044337473703869,0.008907243462695653,0.60976909671394,0.09067142160517513
1,empty,shaker_entropy,0.5922848838246401,0.060863784481669805,0.5566163346722972,0.053414105566720965,0.21330246875529907,0.07751308309601791,0.217840094699574,0.019580023477820223,0.10670485081953408,0.01503732786791255,0.6895026251246102,0.05578747046217805,0.6656268681009468,0.05538489019110243,0.22007019167854572,0.01943553943629188,0.6202249889230342,0.13101702015591948
1,empty,smac3_variance,0.5690793967833356,0.06332962561992908,0.5439654460075893,0.05269213275244735,0.22231960188320513,0.08571569848065665,0.21839364182606752,0.019348300428697045,0.10670485081953408,0.01503732786791255,0.5876658102883995,0.05850227580529518,0.5587038291376561,0.05901253918389725,0.19968594520194574,0.015817285815330023,0.733803741893224,0.1706008667042174
1,empty,standard_disagreement,0.5690793967833356,0.06332962561992908,0.5439654460075893,0.05269213275244735,0.22231960188320513,0.08571569848065665,0.21839364182606752,0.019348300428697045,0.10670485081953408,0.01503732786791255,0.5876658102883995,0.05850227580529518,0.5587038291376561,0.05901253918389725,0.19968594520194388,0.01581728581532995,0.7338037418931033,0.17060086670418173
1,empty,standard_proximity,0.5349445487025587,0.046100089720394574,0.4421403726893963,0.03281834044066982,0.13187357820167242,0.06765593786758928,0.23748844841047273,0.018990536429149225,0.10670485081953408,0.01503732786791255,0.6634975263286605,0.04835429570886894,0.6310507609352617,0.047291815612214176,0.36371040249158343,0.009793536681853336,0.6363926492431327,0.09303131431439413
1,sparse,chen_variance,0.8681030291664281,0.02958368857385764,0.800505332536763,0.04802346805745209,0.39076287934154214,0.042846598844116277,0.1408074091681943,0.016966440938268955,0.0902129191737464,0.014294920560561364,0.6942633156703052,0.06864883975441474,0.6862207856531581,0.06880641557692284,0.16053896115691788,0.010462067008324668,0.05460611473262533,0.10889825448045361
1,sparse,likelihood_credal,0.8730809176345916,0.03271736516772881,0.8065001539339071,0.05303703595898226,0.40833626154454233,0.041915095194838534,0.13871732318546684,0.016701814389008023,0.0902129191737464,0.014294920560561364,0.7108819673151505,0.06863591216383887,0.7057446809921525,0.06924514173594223,0.14303192354010955,0.016429785670250163,0.40010353943256804,0.08461195177146838
1,sparse,proximity_auto_lambda,0.8265959467747553,0.03426041439218167,0.7237726253139657,0.05270670568208899,0.35603183580650605,0.04080866689880095,0.14638901186893968,0.018816582971435077,0.0902129191737464,0.014294920560561364,0.6899252517618609,0.06667070918608048,0.6773743899601172,0.0669158067814689,0.20587554651850912,0.017599903140274622,0.27455576255068576,0.09383844996778061
1,sparse,proximity_b,0.81688040384363,0.03519389494236533,0.7109455325029292,0.05414550573305217,0.35435202330859367,0.042471922672258175,0.145485104116772,0.01857518375214409,0.0902129191737464,0.014294920560561364,0.6933676336758007,0.06604904692476184,0.6803159055647133,0.06615734514240008,0.22753705206633504,0.017358551995266272,0.22276508644397935,0.09683064774172047
