func_name,dim,noise_name,rf_config,seed,approach,spearman_true,spearman_resid,log_pearson_true,mse_var,rmse_var,nlpd_aleatoric
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,1,shaker_entropy,0.9279057449880946,0.4729237500442873,0.411540017578292,1.0903754698756716,1.044210452866505,1819813.4759404026
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,1,shaker_geom_var,0.9279057449880946,0.4729237500442873,0.9474734764481908,0.005441828840886786,0.07376875246936732,0.39638675971575266
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,1,shaker_geom_std,0.9279057449880946,0.4729237500442873,0.9474734764481908,0.013342088008432456,0.11550795647241127,0.28120629799647523
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,1,standard_ari_var,0.9325034806676469,0.4745488364574707,0.9514639265772498,0.003950921050170672,0.06285635250450564,0.2905882707920656
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,1,standard_ari_std,0.9325034806676469,0.4745488364574707,0.9514639265772499,0.01816738323048926,0.13478643563240797,0.30788574645433464
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,2,shaker_entropy,0.903734015125807,0.45028555243106,0.4273239611372381,0.9297667231925342,0.9642441201233919,1714196.8169255299
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,2,shaker_geom_var,0.903734015125807,0.45028555243106,0.9344936304496727,0.006160769889403249,0.07849057197780666,0.3309627397437196
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,2,shaker_geom_std,0.903734015125807,0.45028555243106,0.9344936304496726,0.013863253335916882,0.1177423175239764,0.2777712722702711
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,2,standard_ari_var,0.9119073700745067,0.4584846569884194,0.9436055890319686,0.0047591584359492475,0.06898665404228015,0.2203888532043911
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,2,standard_ari_std,0.9119073700745067,0.4584846569884194,0.9436055890319683,0.018787823129252635,0.13706868033672986,0.306933491932814
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,3,shaker_entropy,0.945502741439299,0.40403925527842727,0.677932558253845,0.9329219414569883,0.9658788440881124,1692023.091991973
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,3,shaker_geom_var,0.945502741439299,0.40403925527842727,0.9657008889682313,0.004506146352591953,0.06712783589981099,0.4281873395686287
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,3,shaker_geom_std,0.945502741439299,0.40403925527842727,0.9657008889682313,0.015583961800381945,0.12483573927518492,0.3234167781782467
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,3,standard_ari_var,0.948638471560512,0.40585889429037203,0.9678135587595574,0.003266600734242556,0.0571541838734712,0.3333324569846811
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,3,standard_ari_std,0.948638471560512,0.40585889429037203,0.9678135587595575,0.021024255690486635,0.14499743339275573,0.34635721087068033
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,4,shaker_entropy,0.9117764762304871,0.493683299125725,0.4082158453241176,1.020213100463111,1.0100559887764198,2300606.5483716326
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,4,shaker_geom_var,0.9117764762304871,0.493683299125725,0.93820174947237,0.006193574681461183,0.0786992673502186,0.6160723271168009
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,4,shaker_geom_std,0.9117764762304871,0.493683299125725,0.93820174947237,0.011705182306880073,0.10819049083389941,0.31686707484829746
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,4,standard_ari_var,0.9186251568670322,0.5029703246489523,0.9453776191834371,0.004941433750879645,0.07029533235485586,0.46245595871061823
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,4,standard_ari_std,0.9186251568670322,0.5029703246489523,0.945377619183437,0.01559270720048951,0.1248707619921073,0.3352521175660799
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,5,shaker_entropy,0.9055836953478544,0.5274460429468046,0.4158334610149575,1.0557228679938715,1.02748375558637,2264921.9070818494
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,5,shaker_geom_var,0.9055836953478544,0.5274460429468046,0.935851648443774,0.005902892197080996,0.07683028177145387,0.34774437250099194
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,5,shaker_geom_std,0.9055836953478544,0.5274460429468046,0.935851648443774,0.014977310000407099,0.12238182054703672,0.2977970490089424
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,5,standard_ari_var,0.911691359468529,0.5256464314082617,0.9404101416290092,0.004592065008246004,0.0677647770471209,0.24669106960059128
sin_1d_hetero_linear_RF,1,RF,DeepEnsemble300,5,standard_ari_std,0.911691359468529,0.5256464314082617,0.9404101416290092,0.020942356547143846,0.14471474198278433,0.3230355893413464
sin_1d_hetero_linear_RF,1,RF,Default,1,shaker_entropy,0.916708956822614,0.4634242902496184,0.5784849332351736,1.1075381493905623,1.0523963841588218,1996983.531478107
sin_1d_hetero_linear_RF,1,RF,Default,1,shaker_geom_var,0.916708956822614,0.4634242902496184,0.9420444459556766,0.005709740317530473,0.07556282364715121,0.4295730931628746
sin_1d_hetero_linear_RF,1,RF,Default,1,shaker_geom_std,0.916708956822614,0.4634242902496184,0.9420444459556767,0.013152405226610653,0.1146839362186817,0.281446300294085
sin_1d_hetero_linear_RF,1,RF,Default,1,standard_ari_var,0.9207924155958814,0.46572601915702333,0.9458352230919884,0.004197999869319998,0.064791973803242,0.3200553431635996
sin_1d_hetero_linear_RF,1,RF,Default,1,standard_ari_std,0.9207924155958814,0.46572601915702333,0.9458352230919885,0.018044833635263092,0.1343310598307893,0.30820314478443284
sin_1d_hetero_linear_RF,1,RF,Default,2,shaker_entropy,0.9076543930442302,0.45240417301021896,0.31773037599476955,0.9376606388982406,0.9683287865690251,1709044.540285803
sin_1d_hetero_linear_RF,1,RF,Default,2,shaker_geom_var,0.9076543930442302,0.45240417301021896,0.9355497779452735,0.006208433838373677,0.07879361546707751,0.3295080255345908
sin_1d_hetero_linear_RF,1,RF,Default,2,shaker_geom_std,0.9076543930442302,0.45240417301021896,0.9355497779452735,0.01357872955250027,0.11652780591987592,0.27531985592453895
sin_1d_hetero_linear_RF,1,RF,Default,2,standard_ari_var,0.9151890146447907,0.4578208892985276,0.944677583668512,0.004767193048701847,0.06904486258007794,0.2189285834551801
sin_1d_hetero_linear_RF,1,RF,Default,2,standard_ari_std,0.9151890146447907,0.4578208892985276,0.944677583668512,0.018508900756988127,0.13604742098616984,0.3047547723173865
sin_1d_hetero_linear_RF,1,RF,Default,3,shaker_entropy,0.9434928414300361,0.41999936341247934,0.6513014002342714,0.9328352110966781,0.9658339459227337,1696067.8581586825
sin_1d_hetero_linear_RF,1,RF,Default,3,shaker_geom_var,0.9434928414300361,0.41999936341247934,0.9640530644139009,0.004615874982711787,0.06794023095862853,0.4281612747031159
sin_1d_hetero_linear_RF,1,RF,Default,3,shaker_geom_std,0.9434928414300361,0.41999936341247934,0.9640530644139008,0.015454436083638645,0.12431587221122911,0.3227697080368087
sin_1d_hetero_linear_RF,1,RF,Default,3,standard_ari_var,0.9482186098859792,0.4219084107878254,0.9669423911488226,0.0033600592122679882,0.05796601773684292,0.3340138486761719
sin_1d_hetero_linear_RF,1,RF,Default,3,standard_ari_std,0.9482186098859792,0.4219084107878254,0.9669423911488226,0.02103155920453939,0.14502261618292298,0.34640446862946667
sin_1d_hetero_linear_RF,1,RF,Default,4,shaker_entropy,0.9055393487996075,0.46899621945679193,0.44281205704311366,1.032266042794941,1.0160049423083242,2668153.449583984
sin_1d_hetero_linear_RF,1,RF,Default,4,shaker_geom_var,0.9055393487996075,0.46899621945679193,0.9306513359657527,0.006211800904292756,0.07881497893352986,0.6594536971809455
sin_1d_hetero_linear_RF,1,RF,Default,4,shaker_geom_std,0.9055393487996075,0.46899621945679193,0.9306513359657526,0.01180192470776286,0.10863666373634115,0.31904022343147287
sin_1d_hetero_linear_RF,1,RF,Default,4,standard_ari_var,0.9128772720006849,0.4801293488675307,0.9401939393190083,0.005009678597224947,0.07077908304877188,0.4863066707112236
sin_1d_hetero_linear_RF,1,RF,Default,4,standard_ari_std,0.9128772720006849,0.4801293488675307,0.9401939393190082,0.015692010632744682,0.1252677557583941,0.33588036563194335
sin_1d_hetero_linear_RF,1,RF,Default,5,shaker_entropy,0.9022448294249937,0.51379982325758,0.40061424596738704,1.0582845589134382,1.0287295849315496,2595114.449847592
sin_1d_hetero_linear_RF,1,RF,Default,5,shaker_geom_var,0.9022448294249937,0.51379982325758,0.9345291155622706,0.005967606121398554,0.07725028233863326,0.3679981608740529
sin_1d_hetero_linear_RF,1,RF,Default,5,shaker_geom_std,0.9022448294249937,0.51379982325758,0.9345291155622706,0.014839910846850069,0.12181917273914672,0.2992704163883047
sin_1d_hetero_linear_RF,1,RF,Default,5,standard_ari_var,0.908439756108348,0.5135566325091283,0.9390649941394698,0.004665897015794616,0.0683073716065449,0.2602988512519345
sin_1d_hetero_linear_RF,1,RF,Default,5,standard_ari_std,0.908439756108348,0.5135566325091283,0.9390649941394698,0.020762525869283052,0.14409207427642595,0.32407685569587896
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,1,shaker_entropy,0.0,0.0,0.0,64.48375962655402,8.030178056964491,7837540.119393048
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,1,shaker_geom_var,0.0,0.0,0.0,0.02023155011693077,0.1422376536537733,78369.49529120227
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,1,shaker_geom_std,0.0,0.0,0.0,0.02001077864534254,0.14145945937031762,75.84054500166206
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,1,standard_ari_var,0.0,0.0,0.0,0.02023155011693077,0.1422376536537733,78369.49529120326
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,1,standard_ari_std,0.0,0.0,0.0,0.02001077864534254,0.14145945937031762,75.84054500166256
sin_1d_hetero_linear_RF_Overfit,1,Overfit,Leaf1,2,shaker_entropy,0.0,0.0,0.0,64.48375962655402,8.030178056964491,6568368.134451589
