dimension,stratum,n_experiments,winkler_plcb_mean,winkler_plcb_sem,winkler_slcb_mean,winkler_slcb_sem,winkler_ratio,picp_plcb_mean,picp_plcb_sem,picp_slcb_mean,picp_slcb_sem,auroc_plcb_mean,auroc_plcb_sem,auroc_slcb_mean,auroc_slcb_sem
2,0,320,2.7022332033159437,0.10457366800017673,3.0424884937920225,0.03998265411649167,-0.11859722056500696,0.9268732797518726,0.008086557110621685,0.9996756963936081,0.00019031493504915236,0.5386496624041079,0.012227166042501838,0.6873697414029878,0.012250994809326449
2,1,320,12.027643354853202,0.6465388122002244,6.308036510424812,0.27744074571121946,0.6453831564042264,0.7072340543155475,0.008988611457042153,0.9166548528021531,0.006386531242694648,0.3943047608369742,0.00798466923280057,0.61484505415552,0.011238066633262479
2,2,320,111.48777670329446,5.428038391895618,85.17916312320673,4.579409423028331,0.2691581192684464,0.22185763880839296,0.011579855469944758,0.47161327662449615,0.02117667371773299,0.4737217373560057,0.00906331324814499,0.5683479298077179,0.011519978728281125
2,3,320,273.74650591409164,13.585311565430754,245.29260154255402,12.953595704317319,0.10975072730935273,0.20641767897784327,0.012740630734881506,0.39001207899091983,0.02043444091369998,0.4923425029235675,0.009952785423757512,0.5635777486743802,0.011572216202656208
2,All,320,87.57103184393249,4.256880242696448,71.5401070037421,3.8063438879886142,0.20219202699151764,0.4814403125,0.007943624362039015,0.6836128124999999,0.011707274450254131,0.4362821282986111,0.011814836565295462,0.6261252126736111,0.012653745258137197
3,0,320,3.2086933011812264,0.2636505335736126,3.292257606284609,0.21497327998676322,-0.025709748983289402,0.9072836952601981,0.012877788577916818,0.9491638392213018,0.010651319122763441,0.5649997340143078,0.012642518308853339,0.6716401527850637,0.011958901103755233
3,1,320,12.21851860282666,0.6850132727608518,7.0779034404018075,0.3486116216266212,0.5459749795150802,0.7124101993294112,0.01005875188783013,0.8888347931837677,0.007823708384442319,0.3880927369109305,0.006359661241512675,0.5562988401922653,0.009848948660514298
3,2,320,109.78974548084133,5.432443410047257,87.75470185592096,4.764432326029493,0.22402168869354971,0.21242201664448307,0.011748600760386002,0.4158332015534931,0.02020658997858915,0.44455430854421146,0.008529236580111853,0.5382611802850559,0.010618871545518266
3,3,320,286.5563527321589,14.033030085551266,257.8308410446824,13.541013398723564,0.10563149544774245,0.09116162100777772,0.006498003319996676,0.20613787636933947,0.012092010694659677,0.45725850880158675,0.00826676832269959,0.5941606300906563,0.010294858702175658
3,All,320,98.7933578822238,4.704082633613979,83.08669376224597,4.281655601553195,0.17314580873889826,0.414429375,0.009023772919490894,0.5747734375,0.012183542647528639,0.42516977968749997,0.011531871460648104,0.6077747206597222,0.011224532997900202
5,0,320,8.246342790540082,0.7851123151376843,10.867950991356597,0.9816056320884456,-0.27604837816480243,0.7662299071065242,0.021040239419352676,0.6741378875946897,0.024025364642515385,0.5544894723343907,0.014661150297106632,0.59226414567429,0.01701993497410741
