function_name,n_experiments,spearman_dist_plcb_mean,spearman_dist_plcb_sem,spearman_dist_slcb_mean,spearman_dist_slcb_sem,spearman_dist_diff_mean,spearman_dist_pvalue,spearman_dist_cliffs_delta,spearman_dist_wins,spearman_dist_ties,spearman_dist_losses,spearman_err_plcb_mean,spearman_err_plcb_sem,spearman_err_slcb_mean,spearman_err_slcb_sem,spearman_err_diff_mean,spearman_err_pvalue,spearman_err_cliffs_delta,spearman_err_wins,spearman_err_ties,spearman_err_losses,picp_error_plcb_mean,picp_error_plcb_sem,picp_error_slcb_mean,picp_error_slcb_sem,picp_error_diff_mean,picp_error_pvalue,picp_error_cliffs_delta,picp_error_wins,picp_error_ties,picp_error_losses,winkler_plcb_mean,winkler_plcb_sem,winkler_slcb_mean,winkler_slcb_sem,winkler_diff_mean,winkler_pvalue,winkler_cliffs_delta,winkler_wins,winkler_ties,winkler_losses,outlier_auroc_plcb_mean,outlier_auroc_plcb_sem,outlier_auroc_slcb_mean,outlier_auroc_slcb_sem,outlier_auroc_diff_mean,outlier_auroc_pvalue,outlier_auroc_cliffs_delta,outlier_auroc_wins,outlier_auroc_ties,outlier_auroc_losses
ackley,480,-0.48725877705982457,0.011282682762395118,-0.27440338856586755,0.015063772759764334,-0.212855388493957,2.65033427935736e-46,-0.3737065972222222,96,0,384,0.049136626879184755,0.015543945128611342,-0.06652285661133005,0.013056704051754412,0.11565948349051483,1.2686005382294354e-11,0.22253472222222223,272,0,208,0.6261658333333333,0.008735730540794033,0.46065875,0.012642704990971483,0.16550708333333333,5.023963363312433e-78,0.40220052083333335,16,0,464,50.964965827750504,2.0341374315045164,42.68672824834159,2.047988165350631,8.278237579408925,2.2648100990260192e-57,0.19776909722222222,80,0,400,0.6251093189814815,0.011729524009327565,0.5159693199074074,0.010116324375007065,0.10913999907407407,7.420243827740927e-16,0.24323784722222222,279,0,201
rastrigin,480,-0.4418311528068092,0.011408472971148727,0.12674542889535614,0.013579550130346667,-0.5685765817021653,1.175753209376755e-76,-0.868359375,17,0,463,0.08918978048041766,0.010755568706630508,-0.08706108110565539,0.008644567803523958,0.17625086158607306,1.3366222561117204e-07,0.3125173611111111,249,0,231,0.3423354166666666,0.005300441217108149,0.15922999999999998,0.005467976077756485,0.1831054166666667,1.2494048592918503e-75,0.7165190972222222,26,0,454,17.943275488464266,0.5662661589237884,14.44877695492763,0.7143929955566902,3.494498533536636,5.187632101775922e-27,0.4138541666666667,116,0,364,0.5281031247685185,0.0090197488717781,0.4634354267361111,0.006749497506489363,0.06466769803240742,0.38255235618393946,0.021163194444444443,188,0,292
rosenbrock,480,-0.1928055562890377,0.01289650961013497,0.3947726062744439,0.012198929873034864,-0.5875781625634816,2.362935018453983e-80,-0.9002951388888889,1,0,479,-0.15393477713848355,0.009392857151693317,0.40144784732551314,0.009337203144432225,-0.5553826244639967,2.33353260973354e-80,-0.9237239583333333,0,0,480,0.6856722916666667,0.008950354306529885,0.6501564583333332,0.00982394063870701,0.03551583333333333,9.751521953263871e-42,0.14042534722222222,47,37,396,304.29197128082836,8.253046057463713,284.1168315344357,8.209509570213724,20.17513974639271,2.945893274720675e-78,0.13379340277777776,18,0,462,0.39125212384259256,0.006568335551018644,0.737572384375,0.005895298453906323,-0.34632026053240744,2.763183777455135e-80,-0.9069791666666667,3,0,477
sphere,480,-0.4403881869027376,0.011194464505095888,0.2588839359034533,0.013698646394992355,-0.699272122806191,2.422852774638783e-80,-0.9540625,1,0,479,-0.3317266127615223,0.0075419383389270615,0.13168231621871834,0.009033340187649789,-0.4634089289802407,2.46878328185291e-80,-0.938671875,1,0,479,0.7410154166666667,0.007728489849208861,0.7212985416666666,0.0077425136493507445,0.019716875000000002,7.586229787171734e-37,0.13569444444444445,53,42,385,272.0763851389043,7.168913746064212,250.99438901647625,7.101013639329976,21.081996122428038,1.841652860370553e-78,0.1859809027777778,18,0,462,0.30773149131944444,0.004362377567686917,0.5441470857638889,0.004789590072460525,-0.23641559444444446,2.1495420116414034e-78,-0.8986892361111111,16,0,464
All,1920,-0.3905709182646023,0.006422081696003865,0.12649964562684649,0.008902882364727055,-0.5170705638914487,2.627822623022161e-295,-0.7137689887152778,115,0,1805,-0.08683374563510086,0.006796743539597259,0.09488655645681152,0.00677942148860255,-0.18172030209191237,1.4036458808703307e-76,-0.3499978298611111,522,0,1398,0.5987972395833334,0.005246513708294896,0.49783593749999994,0.006800588570243482,0.10096130208333333,2.8486836266582965e-229,0.1986865234375,142,79,1699,161.31914943398684,4.03253540048632,148.0616814385453,3.89999960734203,13.257467995441578,5.428101029228328e-254,0.10943196614583334,232,0,1688,0.4630490147280092,0.005032800984385022,0.5652810541956018,0.004292171951871784,-0.1022320394675926,1.8901898987006016e-77,-0.35378553602430557,486,0,1434
