func_name,dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
ackley_2d,2,empty,distance_evidential,0.999778201058201,0.0,0.9995159838896738,0.5985112862422866,0.14484623967064353,0.09550882599732398,0.9823730376965012,0.9829364846101705,0.7301899394616028,0.11624269173905759
ackley_2d,2,empty,standard_disagreement,0.7176004232804234,0.5794285714285714,0.4603211017112919,0.2723905009430869,0.19990439288256007,0.09550882599732398,0.4297610209118389,0.3997401293823962,0.6578945087407277,0.20203308325798774
ackley_2d,2,sparse,distance_evidential,0.9874167195767196,0.05714285714285714,0.9789594564591022,0.27165086657931836,0.12809298588867457,0.06774235720846274,0.8170218659890267,0.8239168883103517,0.5871338273154868,0.17933583598574335
ackley_2d,2,sparse,standard_disagreement,0.8995140740740741,0.36723809523809525,0.8130222665261941,0.20094714043487388,0.13405139503296942,0.06774235720846274,0.5821817955573961,0.5634874624678065,0.05913804571212208,0.13951993766020152
branin,2,empty,distance_evidential,0.9884139682539683,0.07180952380952381,0.9754381909216482,0.02242269870701992,0.08234370325336463,0.03798128885888493,0.8216566555169106,0.8161283525152878,0.5776902247816269,0.15840539734893627
branin,2,empty,standard_disagreement,0.5640478306878307,0.827047619047619,0.31136501593305144,0.06247394625830037,0.08096021530099373,0.03798128885888493,0.20763044276344908,0.18835668527095353,-0.21719229414419866,0.23644639422953798
branin,2,sparse,distance_evidential,0.862016507936508,0.6756190476190476,0.7777359689436455,0.03790560338773935,0.08245431299116904,0.038468908913905184,0.3785066312229074,0.3858864649893684,0.5306191089781165,0.27363960713905705
branin,2,sparse,standard_disagreement,0.37630433862433865,0.8843809523809524,0.2318611528426171,0.07969661318978807,0.08041802668646908,0.038468908913905184,0.23100350719085946,0.20316027208296933,-0.2570308193274172,0.2693293937056315
rosenbrock_2d,2,empty,distance_evidential,0.9505997883597883,0.3295238095238095,0.9290278023830355,0.1490081653478495,0.08370440313096747,0.04138714138318085,0.6376734959217061,0.6562941041576957,0.5818712252666518,0.1625225073802568
rosenbrock_2d,2,empty,standard_disagreement,0.4049921693121693,0.8940952380952382,0.24158529091179518,0.10780540331701316,0.08622126702201206,0.04138714138318085,0.23349980789488164,0.20639969535504304,-0.25080969214793913,0.2848649791933696
rosenbrock_2d,2,sparse,distance_evidential,0.84298582010582,0.6603809523809524,0.7545193426398429,0.11874081625033998,0.08236852449292913,0.04025053647332963,0.3329764574635042,0.3403484630309602,0.5390433161004204,0.24753211674020797
rosenbrock_2d,2,sparse,standard_disagreement,0.40319492063492063,0.8765714285714286,0.2396348712250395,0.14362114254406277,0.0814032294022092,0.04025053647332963,0.23346018936323382,0.20432860086520632,-0.25881255376954815,0.2861825774887795
hartmann3,3,empty,distance_evidential,0.8499441504997061,0.5823809523809523,0.7273910150615256,0.23104883997799175,0.10363148692413557,0.05328141993967463,0.358609951005253,0.3533918068990535,0.6509534769801155,0.29721874311013075
hartmann3,3,empty,standard_disagreement,0.8615261610817166,0.3358730158730159,0.6405971010578592,0.3132935507122811,0.09680512950796545,0.05328141993967463,0.4591287927279555,0.42162803037598967,0.02742262398572451,0.15211299466428846
hartmann3,3,sparse,distance_evidential,0.5243039388594944,0.8915873015873016,0.3120446323757542,0.11438682105368854,0.09823840082486025,0.047168217780917586,0.058293212091273604,0.05361945076924972,0.618099432716758,0.34975578007197267
hartmann3,3,sparse,standard_disagreement,0.7905949441504998,0.5114285714285713,0.5335244055057289,0.21150854955443732,0.09123896007955179,0.047168217780917586,0.3092049310620908,0.28257575268615454,-0.01402683262935483,0.1751990231348079
ackley_4d,4,empty,distance_evidential,0.9642728571428572,0.231,0.9530066014087515,0.6114444894444895,0.25454368124049365,0.16720470833009976,0.7308248275307007,0.7465265200080028,1.0050482185683722,0.24413951159542613
ackley_4d,4,empty,standard_disagreement,0.20821714285714288,0.956857142857143,0.1962744311226583,-0.38765140264642517,0.6493269569035858,0.16720470833009976,0.36300728382500563,0.3423292515103851,1.3568680743141297,0.3018363287385354
ackley_4d,4,sparse,distance_evidential,0.5151009523809524,0.9637142857142857,0.3812922808242257,0.10204776604776607,0.219367082171122,0.10544208519058214,0.07125946748272893,0.07373322990030887,0.7582141571826073,0.3366684137794345
ackley_4d,4,sparse,standard_disagreement,0.5549447619047619,0.9605714285714285,0.4205506331371362,0.05155086336906826,0.22987533868715437,0.10544208519058214,0.10768659725830558,0.11163156223240385,0.4884424600508175,0.23528829372722693
rosenbrock_4d,4,empty,distance_evidential,0.46882999999999997,0.9187142857142858,0.2631565293904948,0.26856826296826297,0.12125705448364396,0.06394311566834816,0.08886627825791726,0.07693218267785543,0.6946508347081115,0.26703517299704144
rosenbrock_4d,4,empty,standard_disagreement,0.13564238095238096,0.9884285714285713,0.1821504118404051,0.3148488414388547,0.11561883947828613,0.06394311566834816,0.41584036596558765,0.3748181252401369,0.15376557547148278,0.30122029030213304
rosenbrock_4d,4,sparse,distance_evidential,0.13919857142857142,0.9955714285714287,0.18120229573304092,0.31799287439287444,0.10750533625219356,0.058030260516261666,0.3713014208222947,0.3413118634619621,0.6689707974682404,0.29078394658843243
rosenbrock_4d,4,sparse,standard_disagreement,0.10065428571428572,0.9931428571428571,0.1777186810466054,0.3626321582321582,0.10348153921236394,0.058030260516261666,0.4923055782375544,0.44976222790970466,0.12664586836669595,0.30663678839489333
friedman_6d,6,empty,distance_evidential,0.3924552380952381,0.9371428571428572,0.23764996960224116,0.09924021084021085,0.20006152899333746,0.1038209760256652,0.11175877667717779,0.09840809515690761,0.7073006600181603,0.3775529378986626
friedman_6d,6,empty,standard_disagreement,0.44627952380952374,0.9022857142857144,0.25548210962166373,0.07806747486747487,0.20411890199183164,0.1038209760256652,0.10034864703786947,0.08783796494153605,0.4375812176260161,0.2627178173639159
friedman_6d,6,sparse,distance_evidential,0.022579047619047627,0.9998571428571429,0.16929420488093588,0.2960724404724405,0.13108250695255902,0.07213061430201725,0.7459274796328934,0.7323279506921908,0.66273718128253,0.39924267072102115
friedman_6d,6,sparse,standard_disagreement,0.11355904761904763,0.9977142857142857,0.1774455792484022,0.23481242721242723,0.13939651567122416,0.07213061430201725,0.4239482626531584,0.4038628715013747,0.34868502135743873,0.30948540060347335
hartmann6,6,empty,distance_evidential,0.7775390476190476,0.47585714285714287,0.4775790307841472,0.46071409911409916,0.13452599462467335,0.07982818228280991,0.32381377490073615,0.2940323680501883,0.761690776285719,0.20259791919388942
hartmann6,6,empty,standard_disagreement,0.809155238095238,0.3547142857142857,0.5033852910971814,0.4874772770772771,0.1297387976551999,0.07982818228280991,0.4375337930135864,0.3918992864500577,0.39728340020758135,0.1816978026338299
hartmann6,6,sparse,distance_evidential,0.41581095238095234,0.95,0.25146117364829373,0.3733378981378982,0.1290043532279354,0.07114978778495012,0.06663346368838234,0.059305676412400476,0.7224142861343366,0.23410440517319234
hartmann6,6,sparse,standard_disagreement,0.6864161904761905,0.5001428571428572,0.3724182678967719,0.43964511884511887,0.11942832305048665,0.07114978778495012,0.3235898416859344,0.28579732364347593,0.3418383727651395,0.21931748796326472
hartmann_6d,6,empty,distance_evidential,0.46558904761904757,0.916,0.2618181412088463,0.4641544005544006,0.11750404514123176,0.06956579859494086,0.08859293132795308,0.07724310833332595,0.7211659560277259,0.23326541715488086
hartmann_6d,6,empty,standard_disagreement,0.509907619047619,0.8057142857142857,0.27564270178511935,0.5180868680868682,0.11119318545497817,0.06956579859494086,0.1380808920552986,0.12259939851337887,0.27293860892263194,0.2575133649468024
hartmann_6d,6,sparse,distance_evidential,0.2258642857142857,0.9921428571428571,0.19426130547963277,0.45221136701136705,0.10922439668900756,0.06431158423883448,0.2113282946704841,0.1989449800350746,0.7023305795386575,0.24760205145806752
hartmann_6d,6,sparse,standard_disagreement,0.45739904761904765,0.842,0.25510303896504716,0.49942632982632984,0.1048465559297563,0.06431158423883448,0.12033673426283176,0.10644714023363902,0.24654170205725015,0.26681601878059863
friedman_10d,10,empty,distance_evidential,0.3310747619047619,0.9648571428571427,0.21954852265103836,0.008901352101352103,0.21037243916582887,0.10422131675559916,0.13229735060959816,0.1184608717392915,0.7211544909986222,0.3927482677249674
friedman_10d,10,empty,standard_disagreement,0.46990333333333334,0.906,0.2700718402667908,0.03867245787245788,0.20806605724656774,0.10422131675559916,0.0872162985217578,0.07725831253886574,0.4560396540095155,0.2602868895064158
friedman_10d,10,sparse,distance_evidential,0.002914761904761907,1.0,0.16831278322942408,0.30950732750732757,0.12710170250823097,0.07085517707726663,0.9220089718256513,0.9188399389133364,0.6708128994960042,0.4221575424027744
friedman_10d,10,sparse,standard_disagreement,0.06250142857142857,0.9998571428571429,0.17189119948300455,0.266979866979867,0.13281770729801415,0.07085517707726663,0.5689840078662389,0.5570745220676376,0.35744923920377997,0.32273504228881167
