approach,dim,spearman_true,spearman_resid,log_pearson_true,mse_var,rmse_var,nlpd_aleatoric
shaker_entropy,1,0.7308864946716146,0.3751255062133372,0.46110394607852884,13.105435976033236,2.302917643814913,2530845.7427408746
shaker_entropy,2,0.6073923841834118,0.3160010356679053,0.3564334599618389,13.501103169945592,2.2458862802412085,2090735.685607814
shaker_entropy,3,0.534435900715674,0.30866875711603114,0.3726326368425589,13.19379538709887,2.0436367631197534,2024632.5331417962
shaker_entropy,4,0.5687359427043233,0.31444684801500655,0.42219327890969793,13.12567770047296,1.9745392908529762,2581836.0136757214
shaker_entropy,5,0.6001226727418563,0.3080757665088348,0.4267862556924228,13.20747784235361,2.02483022336062,2505109.6703776675
shaker_entropy,6,0.6208683189652592,0.3145034376745359,0.4247792902421131,13.309385912916309,2.083718651690055,2349478.1513006375
shaker_entropy,7,0.6393442004559284,0.32761473812836056,0.424004719356347,13.44651240610241,2.158849366989246,2226653.9376962325
shaker_entropy,8,0.6394234888931587,0.33408243346559274,0.3920665675322471,13.537344631095664,2.1989626401250852,2132454.8561427263
shaker_entropy,9,0.6564888720172423,0.34663283536142375,0.40262779201000704,13.616315126702649,2.235375445154784,2119800.4330677
shaker_entropy,10,0.6341883359942855,0.34220485519990157,0.40477777423707956,13.66309206646733,2.2540877246109803,2135432.4708594424
shaker_entropy,11,0.6469724290928213,0.34780535505545124,0.3835712743075996,13.693351889774943,2.2654344225610377,2165197.6054665498
shaker_entropy,12,0.6220243347092075,0.33712086534132335,0.37604992988995406,13.70689677188407,2.268108605763746,2206288.731362442
shaker_entropy,13,0.629854037264865,0.3441808543061964,0.38637506795292637,13.724421841762307,2.2746455989228767,2243597.137368273
shaker_entropy,14,0.6251308836446314,0.3411848125214416,0.38110074691511175,13.72912858310355,2.2749696259247787,2297941.083850673
shaker_entropy,15,0.6121981042518787,0.3360387926882187,0.3546963397892767,13.739878857503685,2.2798310455631596,2337513.320913449
shaker_geom_std,1,0.7308864946716146,0.3751255062133372,0.7333599249345548,0.024554865781326034,0.14292834153731762,16.709513816023158
shaker_geom_std,2,0.6073923841834118,0.3160010356679053,0.6037704683783145,0.04662143396618188,0.18252529799628492,13.556376768537426
shaker_geom_std,3,0.534435900715674,0.30866875711603114,0.5201996309074797,0.0598773904093058,0.22422187013137132,15.15394466473994
shaker_geom_std,4,0.5687359427043233,0.31444684801500655,0.5476370427888996,0.04817911598694775,0.20344688035570022,18.163364940299484
shaker_geom_std,5,0.6001226727418563,0.3080757665088348,0.5702064205639709,0.03767310149555716,0.17622927108021882,14.986044960325211
shaker_geom_std,6,0.6208683189652592,0.3145034376745359,0.5967510487093106,0.03147830794667511,0.15837041957336115,13.19735282086753
shaker_geom_std,7,0.6393442004559284,0.32761473812836056,0.6163457365091557,0.02848021641273612,0.14778812226227134,12.261929304438612
shaker_geom_std,8,0.6394234888931587,0.33408243346559274,0.6136506729171671,0.027466749951063227,0.1436099812163028,11.665118183615245
shaker_geom_std,9,0.6564888720172423,0.34663283536142375,0.6234809077745147,0.027927594546773,0.14349533178074264,11.70260376883411
shaker_geom_std,10,0.6341883359942855,0.34220485519990157,0.5992089406954809,0.02783732179626017,0.14239298784802729,11.684711713461065
shaker_geom_std,11,0.6469724290928213,0.34780535505545124,0.6160023301604035,0.027646058967783566,0.14140811457949617,11.59902857926316
shaker_geom_std,12,0.6220243347092075,0.33712086534132335,0.589847409676144,0.027904666498848495,0.14173990910393697,11.48674898174751
shaker_geom_std,13,0.629854037264865,0.3441808543061964,0.6024033907908067,0.02730727941496117,0.14014827177134614,11.487478400254957
shaker_geom_std,14,0.6251308836446314,0.3411848125214416,0.5971993973718226,0.027737915467363785,0.14104725006048832,11.479799695777912
shaker_geom_std,15,0.6121981042518787,0.3360387926882187,0.5716699235663057,0.028116383492693936,0.14156435623349095,11.448809090246753
shaker_geom_var,1,0.7308864946716146,0.3751255062133372,0.7333599249345548,0.01219139575957152,0.0775300625074611,16954.562058035444
shaker_geom_var,2,0.6073923841834118,0.3160010356679053,0.6037704683783145,0.017323219488746835,0.10247639735693441,13729.305302519177
shaker_geom_var,3,0.534435900715674,0.30866875711603114,0.5201996309074797,0.017268794879641766,0.10350818861409582,15194.616252575637
shaker_geom_var,4,0.5687359427043233,0.31444684801500655,0.5476370427888996,0.016123447157420857,0.09483309572739386,18225.440038446297
shaker_geom_var,5,0.6001226727418563,0.3080757665088348,0.5702064205639709,0.016273375610449694,0.09047071682470965,15129.404293836587
shaker_geom_var,6,0.6208683189652592,0.3145034376745359,0.5967510487093106,0.016485042672693472,0.09013331458738834,13396.743688627268
shaker_geom_var,7,0.6393442004559284,0.32761473812836056,0.6163457365091557,0.017322261501127045,0.09190726959853143,12501.28360788098
shaker_geom_var,8,0.6394234888931587,0.33408243346559274,0.6136506729171671,0.01776087340275893,0.09341924674266044,11926.019411014748
shaker_geom_var,9,0.6564888720172423,0.34663283536142375,0.6234809077745147,0.017708996246097685,0.09267110910157696,11969.737904143934
shaker_geom_var,10,0.6341883359942855,0.34220485519990157,0.5992089406954809,0.017949114568033202,0.09351638768885796,11957.556894246945
shaker_geom_var,11,0.6469724290928213,0.34780535505545124,0.6160023301604035,0.018208799691750377,0.09425174201395746,11876.796149173577
shaker_geom_var,12,0.6220243347092075,0.33712086534132335,0.589847409676144,0.018637093602625436,0.09549100697654889,11765.482020645497
shaker_geom_var,13,0.629854037264865,0.3441808543061964,0.6024033907908067,0.01857326200868088,0.0954589389053246,11769.670891355603
shaker_geom_var,14,0.6251308836446314,0.3411848125214416,0.5971993973718226,0.018904525601968734,0.09639782110562646,11761.189895550831
shaker_geom_var,15,0.6121981042518787,0.3360387926882187,0.5716699235663057,0.019120480847022135,0.09686956223293838,11730.234406482157
standard_ari_std,1,0.7347004416602523,0.37585480364396895,0.7373320349626782,0.02684442030600549,0.1512360369256601,16.722464089083655
standard_ari_std,2,0.6030746022020335,0.31634449400978015,0.5987159871288373,0.05208050032401063,0.1965549276151639,13.577762336332267
standard_ari_std,3,0.5225861689860625,0.3109409061095728,0.5062353518941163,0.06953400119861403,0.24590600687669914,15.179684743579015
standard_ari_std,4,0.5711231034853315,0.3159525788443746,0.5452499687923686,0.05497193576579619,0.2202977833363525,18.1828580301386
standard_ari_std,5,0.5941578080423247,0.3075240214711776,0.56457172124352,0.04250921266931313,0.19059566578981668,15.007341567740223
standard_ari_std,6,0.6139127951568242,0.31292261241334596,0.5881161309495758,0.03560352053773157,0.17196477531198695,13.221033351334498
standard_ari_std,7,0.6340584097402852,0.3251799683850683,0.6097468871855076,0.032169780583364095,0.16061190663651412,12.286853500281458
standard_ari_std,8,0.634498682844044,0.330790037596361,0.6076654984823131,0.030905904992002544,0.15582453435805818,11.690474463852238
standard_ari_std,9,0.6524643436896791,0.34420559466322714,0.6212606611686942,0.031067932718749372,0.1547601497975221,11.726672590161838
standard_ari_std,10,0.6284431996708718,0.3382910911941761,0.5944072294343149,0.030860134680127053,0.15329605710732644,11.708360100151465
standard_ari_std,11,0.6415386352750528,0.34460408281922794,0.6116369752383136,0.030717908435165697,0.15240408602094727,11.623341672708147
standard_ari_std,12,0.61511397504095,0.33273330504377824,0.5830931372570027,0.030924239150140878,0.1525136274118157,11.51100551020597
standard_ari_std,13,0.6218587801348435,0.33897849437623223,0.5952544508908272,0.0303749139991743,0.15103305925285423,11.512263070761424
standard_ari_std,14,0.6171615218655987,0.3358760193959371,0.5890350178718241,0.03071572574393286,0.15160608464090977,11.504476226580072
standard_ari_std,15,0.6051192555859395,0.33136769806249333,0.5681765062950997,0.031009657721168017,0.15182963227526391,11.473369837857382
standard_ari_var,1,0.7347004416602523,0.37585480364396895,0.7373320349626782,0.011042486688504955,0.07210027569256916,16954.512457096436
standard_ari_var,2,0.6030746022020335,0.31634449400978015,0.5987159871288373,0.016683500964199724,0.0990349608463522,13729.26205372603
standard_ari_var,3,0.5225861689860625,0.3109409061095728,0.5062353518941163,0.016576199993342335,0.10371534698698634,15194.591107983297
standard_ari_var,4,0.5711231034853315,0.3159525788443746,0.5452499687923686,0.014784071759468937,0.0915799239023901,18225.394171358887
standard_ari_var,5,0.5941578080423247,0.3075240214711776,0.56457172124352,0.014626794551092856,0.08513895654142033,15129.342367944519
standard_ari_var,6,0.6139127951568242,0.31292261241334596,0.5881161309495759,0.014628807335939707,0.08361217685173045,13396.67361173969
standard_ari_var,7,0.6340584097402852,0.3251799683850683,0.6097468871855076,0.015367459101652908,0.0850095422352184,12501.208613965133
standard_ari_var,8,0.634498682844044,0.330790037596361,0.6076654984823131,0.015764541633202286,0.08647786758104485,11925.944450600673
standard_ari_var,9,0.6524643436896791,0.34420559466322714,0.6212606611686942,0.015822436741458116,0.08606101362104608,11969.65765176237
standard_ari_var,10,0.6284431996708718,0.3382910911941761,0.5944072294343149,0.01606020088258977,0.08695712362942314,11957.471913158364
standard_ari_var,11,0.6415386352750528,0.34460408281922794,0.6116369752383136,0.016308224071200684,0.0877173883924423,11876.707707341398
standard_ari_var,12,0.61511397504095,0.33273330504377824,0.5830931372570027,0.016714186324122877,0.08901815598948325,11765.387710282572
standard_ari_var,13,0.6218587801348435,0.33897849437623223,0.5952544508908272,0.0166180544093581,0.0888440035759305,11769.572377913086
standard_ari_var,14,0.6171615218655987,0.3358760193959371,0.5890350178718241,0.016956299219445834,0.08991812296002319,11761.086897326151
standard_ari_var,15,0.6051192555859395,0.33136769806249333,0.5681765062950997,0.01719476630343447,0.09047289757645915,11730.125939746551
