approach,rf_config,spearman_true,spearman_resid,log_pearson_true,mse_var,rmse_var,nlpd_aleatoric
shaker_entropy,DeepEnsemble300,0.730965324617571,0.39124942178809585,0.48270632914127237,0.5151450206127917,0.5937449423322726,898913.8140428012
shaker_entropy,Default,0.8638986785457623,0.4658952172433944,0.3781760395671032,1.466945934086708,1.0505107002456415,2309289.769454293
shaker_entropy,Leaf1,0.0,0.0,0.0,64.57640758507857,8.035404203886442,6681581.427755482
shaker_entropy,Leaf15,0.8839571728031257,0.47240907738796095,0.6272620344113411,0.6358030683633418,0.7031497401864555,881374.2690000623
shaker_entropy,Shallow,0.6438676241355934,0.33500858133506906,0.5015886234528532,0.47865767884064475,0.6062055938163462,570382.0290755779
shaker_geom_std,DeepEnsemble300,0.730965324617571,0.39124942178809585,0.7116779909122372,0.03082043292777018,0.16706142922639117,0.3758210453615558
shaker_geom_std,Default,0.8638986785457623,0.4658952172433944,0.8585450275532942,0.010224415932312114,0.08698289256027453,0.2205266531853308
shaker_geom_std,Leaf1,0.0,0.0,0.0,0.03603578043334459,0.14702708375645657,64.28095808528646
shaker_geom_std,Leaf15,0.8839571728031257,0.47240907738796095,0.8754085621084009,0.024381032434760253,0.14956359232357294,0.3361948126074681
shaker_geom_std,Shallow,0.6438676241355934,0.33500858133506906,0.5549461680075115,0.06475696330454972,0.2392005027117554,0.48468215338417964
shaker_geom_var,DeepEnsemble300,0.730965324617571,0.39124942178809585,0.7116779909122372,0.010351437146833781,0.07384555617454712,0.16369226003775075
shaker_geom_var,Default,0.8638986785457623,0.4658952172433944,0.8585450275532942,0.01949150226210123,0.1058579809926039,0.6440913509534112
shaker_geom_var,Leaf1,0.0,0.0,0.0,0.03626621722596809,0.14784504766645953,66809.90837482673
shaker_geom_var,Leaf15,0.8839571728031257,0.47240907738796095,0.8754085621084009,0.007485919647034036,0.06329965618162825,0.08804936747711699
shaker_geom_var,Shallow,0.6438676241355934,0.33500858133506906,0.5549461680075115,0.013247206709613069,0.07951728260035769,0.2108794477782083
standard_ari_std,DeepEnsemble300,0.7615109586579826,0.4050607270795002,0.7357232772708526,0.03814718724998888,0.18504586280487756,0.4003792891765615
standard_ari_std,Default,0.8274086195386607,0.44937023268938586,0.8175933695219406,0.014615962033981212,0.11035103456603874,0.27699744019739725
standard_ari_std,Leaf1,0.0,0.0,0.0,0.03603578043334459,0.14702708375645657,64.28095808528688
standard_ari_std,Leaf15,0.8610111542245769,0.4613768755395688,0.8519657525773551,0.030674792948566617,0.16735394570247952,0.36630185584606234
standard_ari_std,Shallow,0.6466731753721443,0.33804740070111905,0.5682167868948496,0.06724211860320381,0.24330870235811997,0.4888917272893233
standard_ari_var,DeepEnsemble300,0.7615109586579826,0.4050607270795002,0.7357232772708526,0.008551226588317817,0.06630345779433641,0.1381816886746426
standard_ari_var,Default,0.8274086195386607,0.44937023268938586,0.8175933695219406,0.014502258740676214,0.09163140073235287,0.30862496052221333
standard_ari_var,Leaf1,0.0,0.0,0.0,0.03626621722596809,0.14784504766645953,66809.90837482756
standard_ari_var,Leaf15,0.8610111542245769,0.4613768755395688,0.8519657525773551,0.0058124609161845095,0.057146678131001244,0.08010591944759457
standard_ari_var,Shallow,0.6466731753721443,0.33804740070111905,0.5682167868948496,0.01344942492146028,0.0796379096168693,0.20966197362503097
