approach,noise_name,spearman_true,spearman_resid,log_pearson_true,mse_var,rmse_var,nlpd_aleatoric
shaker_entropy,Overfit,0.0,0.0,0.0,64.57640758507857,8.035404203886442,6681581.427755482
shaker_entropy,RF,0.7462438757663089,0.3973844067888531,0.45415699738707627,0.8183277127464473,0.749261154217262,1256408.8904753977
shaker_entropy,Smoothed,0.8839571728031257,0.47240907738796095,0.6272620344113411,0.6358030683633418,0.7031497401864555,881374.2690000623
shaker_geom_std,Overfit,0.0,0.0,0.0,0.03603578043334459,0.14702708375645657,64.28095808528646
shaker_geom_std,RF,0.7462438757663089,0.3973844067888531,0.7083897288243476,0.03534169228109595,0.1646450516003331,0.3607587865945308
shaker_geom_std,Smoothed,0.8839571728031257,0.47240907738796095,0.8754085621084009,0.024381032434760253,0.14956359232357294,0.3361948126074681
shaker_geom_var,Overfit,0.0,0.0,0.0,0.03626621722596809,0.14784504766645953,66809.90837482673
shaker_geom_var,RF,0.7462438757663089,0.3973844067888531,0.7083897288243476,0.014348142454902105,0.08634913593715343,0.33864933955602
shaker_geom_var,Smoothed,0.8839571728031257,0.47240907738796095,0.8754085621084009,0.007485919647034036,0.06329965618162825,0.08804936747711699
standard_ari_std,Overfit,0.0,0.0,0.0,0.03603578043334459,0.14702708375645657,64.28095808528688
standard_ari_std,RF,0.7451975845229292,0.39749278682333505,0.7071778112292143,0.04007719665757231,0.17977423160460784,0.38908827320779144
standard_ari_std,Smoothed,0.8610111542245769,0.4613768755395688,0.8519657525773551,0.030674792948566617,0.16735394570247952,0.36630185584606234
standard_ari_var,Overfit,0.0,0.0,0.0,0.03626621722596809,0.14784504766645953,66809.90837482756
standard_ari_var,RF,0.7451975845229292,0.39749278682333505,0.7071778112292143,0.012160698794756118,0.07915395249752745,0.21855600328956928
standard_ari_var,Smoothed,0.8610111542245769,0.4613768755395688,0.8519657525773551,0.0058124609161845095,0.057146678131001244,0.08010591944759457
