stratum,n_tasks,n_paired_runs,wins,losses,ties,win_rate_proposed,cliffs_delta_all_runs,demsar_task_wilcoxon_p,mean_norm_regret_proposed,mean_norm_regret_baseline
Overall (D=16 & D=32),144,4320,3015,1189,116,0.6979166666666666,-0.030510116598079562,1.53257599177199e-23,0.39112265766913434,0.5229615915338636
High-D (D=16),75,2250,1665,527,58,0.74,-0.044927209876543195,5.4980694109671593e-14,0.3629227374345297,0.5304580735935929
Extreme (D=32),69,2070,1350,662,58,0.6521739130434783,-0.02853415482274968,1.7419133622109655e-10,0.4217747448806612,0.5148132414689404
