Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo (Baseline),-0.964565,0.005456,0.002440,5/5,-0.971542,-0.958659
epistemic_standard_proximity,-0.964080,0.004666,0.002087,5/5,-0.968408,-0.956974
epistemic_proximity_auto_lambda,-0.964056,0.003670,0.001641,5/5,-0.966600,-0.957612
epistemic_proximity_b,-0.963426,0.004816,0.002154,5/5,-0.969569,-0.957458
epistemic_proximity_bc,-0.960459,0.006910,0.003090,5/5,-0.969674,-0.952482
epistemic_likelihood_credal,-0.960141,0.002675,0.001196,5/5,-0.964634,-0.957458
epistemic_chen_variance,-0.959822,0.002783,0.001244,5/5,-0.964198,-0.957384
epistemic_standard_disagreement,-0.959593,0.003056,0.001367,5/5,-0.964198,-0.956665
epistemic_shaker_entropy,-0.957677,0.003830,0.001713,5/5,-0.964198,-0.954292
