Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo (Baseline),-84.470422,3.531822,1.579479,5/5,-87.798317,-79.116096
epistemic_proximity_bc,-84.095531,4.197800,1.877313,5/5,-86.795631,-76.826591
epistemic_proximity_auto_lambda,-83.934351,3.657427,1.635651,5/5,-88.326736,-79.980324
epistemic_shaker_entropy,-83.661458,4.976773,2.225681,5/5,-87.863319,-75.980789
epistemic_proximity_b,-83.284341,3.416134,1.527742,5/5,-86.008881,-77.534668
epistemic_likelihood_credal,-82.283665,2.126054,0.950800,5/5,-84.467033,-79.565849
epistemic_standard_proximity,-82.135902,5.027017,2.248150,5/5,-87.541138,-75.233940
epistemic_chen_variance,-81.517543,2.833621,1.267234,5/5,-84.726166,-77.013649
epistemic_standard_disagreement,-75.439822,4.210076,1.882803,5/5,-79.149300,-68.319260
