Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
epistemic_shaker_entropy,-89.494781,2.928912,1.309849,5/5,-94.247757,-86.814835
epistemic_proximity_auto_lambda,-88.087842,4.912347,2.196869,5/5,-93.172127,-80.754730
epistemic_likelihood_credal,-87.894626,4.200717,1.878618,5/5,-93.704292,-82.472908
epistemic_standard_disagreement,-87.893307,1.418151,0.634216,5/5,-90.215996,-86.424271
epistemic_proximity_b,-87.656239,4.350794,1.945734,5/5,-92.613663,-81.592331
smac3_bo (Baseline),-87.254099,8.559300,3.827835,5/5,-96.933586,-78.214500
epistemic_standard_proximity,-86.865184,3.329114,1.488825,5/5,-89.083694,-81.003098
epistemic_chen_variance,-86.814883,1.375467,0.615127,5/5,-88.580475,-84.982536
epistemic_proximity_bc,-85.264317,5.743784,2.568698,5/5,-94.348480,-81.406105
