Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
epistemic_proximity_auto_lambda,-0.888678,0.056087,0.025083,5/5,-0.958932,-0.835052
epistemic_likelihood_credal,-0.887728,0.065892,0.029468,5/5,-0.960928,-0.808547
epistemic_standard_proximity,-0.874770,0.052564,0.023507,5/5,-0.958932,-0.828751
epistemic_proximity_bc,-0.873932,0.052485,0.023472,5/5,-0.962362,-0.837903
epistemic_proximity_b,-0.867195,0.052841,0.023631,5/5,-0.960589,-0.837361
smac3_bo (Baseline),-0.865747,0.053521,0.023935,5/5,-0.960138,-0.834483
epistemic_shaker_entropy,-0.849640,0.034250,0.015317,5/5,-0.900388,-0.808547
epistemic_standard_disagreement,-0.845667,0.029034,0.012984,5/5,-0.886101,-0.806544
epistemic_chen_variance,-0.840675,0.033458,0.014963,5/5,-0.886101,-0.806544
