Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
epistemic_standard_disagreement,0.099125,0.000301,0.000135,5/5,0.098990,0.099663
smac3_bo (Baseline),0.100337,0.001260,0.000563,5/5,0.098990,0.102357
epistemic_standard_proximity,0.100741,0.001819,0.000814,5/5,0.098990,0.103030
epistemic_chen_variance,0.100741,0.000768,0.000343,5/5,0.099663,0.101684
epistemic_proximity_bc,0.100875,0.001295,0.000579,5/5,0.099663,0.103030
epistemic_proximity_auto_lambda,0.101279,0.001622,0.000725,5/5,0.098990,0.103030
epistemic_proximity_b,0.102222,0.001608,0.000719,5/5,0.100337,0.104377
epistemic_shaker_entropy,0.102896,0.002151,0.000962,5/5,0.099663,0.105724
epistemic_likelihood_credal,0.103838,0.001807,0.000808,5/5,0.102357,0.106397
