Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo (Baseline),0.014442,0.000319,0.000143,5/5,0.014105,0.014737
epistemic_proximity_auto_lambda,0.014442,0.000352,0.000158,5/5,0.014105,0.014947
epistemic_proximity_bc,0.014526,0.000298,0.000133,5/5,0.014105,0.014947
epistemic_proximity_b,0.014526,0.000421,0.000188,5/5,0.014105,0.014947
epistemic_standard_disagreement,0.014568,0.000312,0.000140,5/5,0.014105,0.014947
epistemic_standard_proximity,0.014611,0.000319,0.000143,5/5,0.014105,0.014947
epistemic_chen_variance,0.014863,0.000188,0.000084,5/5,0.014526,0.014947
epistemic_likelihood_credal,0.014905,0.000231,0.000103,5/5,0.014526,0.015158
epistemic_shaker_entropy,0.015242,0.000659,0.000295,5/5,0.014947,0.016421
