optimizer_id,Rank (T=11),Rank (T=15),Rank (T=20),Rank (T=25),Rank (T=35),Rank (T=50)
SMAC20_CustomUncertainty_ei_proximity_bc,5.25,3.4375,4.25,3.25,3.6875,3.75
SMAC20_CustomUncertainty_ei_shaker_entropy,5.4375,4.1875,3.875,3.8125,3.75,3.75
SMAC3_HPOFacade_ei,5.3125,3.75,3.9375,4.3125,3.6875,3.75
SMAC20_CustomUncertainty_ei_standard_disagreement,5.1875,4.1875,4.0625,3.875,4.6875,4.25
SMAC20_CustomUncertainty_ei_standard_proximity,5.375,4.625,3.625,3.8125,3.8125,4.8125
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,2.84375,5.5625,5.875,5.625,5.1875,5.0625
CARPSDynamicRF_AdditiveEpistemic_ei_shaker_entropy,3.71875,4.78125,4.78125,5.65625,5.375,5.1875
CARPSDynamicRF_AdditiveEpistemic_ei_proximity_bc,2.875,5.46875,5.59375,5.65625,5.8125,5.4375
