approach,rf_config,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_entropy,RF_DeepEnsemble300,0.4598860979907406,0.2708127643379339,0.37047447698299535,0.5315154068177623,0.6003901135386052,850868.4174401433,0.48357172506375556,0.2700521389562432,0.37329400110803307,0.5350561273202843,0.6066871694492108,770995.1450451034,0.02385416348266132,0.07662450474174722,0.021556042176559844,0.5171678405352559,0.5526107870026931,1167603.191166244,-33063505.51835992
shaker_entropy,RF_Default,0.47728061978969205,0.2892521110710647,0.3322715976232877,0.8079408920433961,0.8081910997544524,1093795.704526374,0.5064073216197132,0.2896658313444043,0.33239847310926296,0.804738117326442,0.8117293906667632,963444.8371073959,0.03440713478906835,0.0907416609837952,0.014480456737478838,0.8205798081264323,0.7404463136122426,1612485.3593409853,-46001413.61084705
shaker_entropy,RF_Overfit_Leaf1,0.3147554352424818,0.1922571730012439,0.0,16.532908638597334,4.052625622296288,5954100.246733419,0.32881220109183734,0.19620115108988354,0.0,16.395455703454825,4.035684971030056,5041376.140256534,0.02040257252647988,0.04343793449592782,0.0,17.0804244010205,4.115524621528807,9599743.012796666,-393065126.72994626
shaker_entropy,RF_Shallow,0.34925390785660027,0.21853610104098928,0.29974511830685013,0.4840579564480274,0.574586524053622,597248.2449221542,0.3674255177047544,0.21905559469979538,0.30557364505148765,0.4860777225773005,0.5796054578184365,547772.5681485411,0.004037084375135479,0.0808285588682657,0.006031577324004659,0.4758699356131475,0.5391679662114336,790286.2094704261,-25874845.648943756
shaker_entropy,RF_Smoothed_Leaf15,0.4791381739968083,0.29018378432647285,0.37292077618059577,0.5954726035460909,0.6872753534159423,852085.8708670494,0.5106426430755323,0.29218132607270914,0.3719692250391967,0.5928468359328053,0.6894716645008366,757268.109714084,0.028364374089029292,0.09995025545494939,0.028755918070636037,0.6058147670660813,0.6398306642845513,1227881.6694620126,-33997897.01225361
shaker_geom_std,RF_DeepEnsemble300,0.4598860979907406,0.2708127643379339,0.4447611771845538,0.03400793316264353,0.1765701169423346,0.3433417025487553,0.48357172506375556,0.2700521389562432,0.47775591746222,0.03258965006173804,0.1732603356963759,0.3110013076318519,0.02385416348266132,0.07662450474174722,0.025559610807228045,0.03968567630632604,0.18615864984584993,0.47229648681416875,1.0586289702001188
shaker_geom_std,RF_Default,0.47728061978969205,0.2892521110710647,0.4781872990417246,0.02212843132950147,0.1423625770341933,0.27156760691105164,0.5064073216197132,0.2896658313444043,0.5141437720681457,0.02064515932805591,0.1377883166248849,0.2383965473669533,0.03440713478906835,0.0907416609837952,0.03526583843624995,0.02806576564881018,0.15198717306757048,0.40384732272059054,1.0696194442315565
shaker_geom_std,RF_Overfit_Leaf1,0.3147554352424818,0.1922571730012439,0.3142690849720701,0.026233585619847,0.11420761546127008,1.6945117494844868,0.32881220109183734,0.19620115108988354,0.33174674873737836,0.01413986904022735,0.09044214707225251,1.2589923201604938,0.02040257252647988,0.04343793449592782,0.021066548109523926,0.07456818516213615,0.14697382428117203,3.432629681687234,0.9997116109254641
shaker_geom_std,RF_Shallow,0.34925390785660027,0.21853610104098928,0.3152018057941038,0.05261278480091373,0.2163830552162331,0.4253173336724208,0.3674255177047544,0.21905559469979538,0.33454067041757496,0.05078052789898631,0.2129261248474648,0.3874305121778629,0.004037084375135479,0.0808285588682657,0.00471136712927187,0.05995073137863793,0.2267391820856435,0.5764410092030189,1.008047700988112
shaker_geom_std,RF_Smoothed_Leaf15,0.4791381739968083,0.29018378432647285,0.4756693572867552,0.032098038365199436,0.17144211811170887,0.32874482073000155,0.5106426430755323,0.29218132607270914,0.5156907322011279,0.031720011901524334,0.170554081190879,0.2967775740230222,0.028364374089029292,0.09995025545494939,0.0287393924151808,0.03361596835574204,0.17179700114431742,0.45619274139351534,1.0587241663976643
