func_name,dim,noise_name,rf_config,seed,approach,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
sin_cos_4d,4,hetero_quadratic,RF_Default,5,shaker_entropy,0.8374473727737644,0.4547191836242042,0.6741108591090783,0.25228694952216013,0.5022817431702651,1133547.9258054537,0.8684937778741822,0.4590015109425927,0.6766176359197806,0.21301229666499943,0.46153255211848215,623780.0767168761,0.0028945132398211473,0.5748311069632683,0.18546799420108734,0.40919397727832907,0.6396827161009816,3170132.649725185,-6.445706297096604
sin_cos_4d,4,hetero_quadratic,RF_Default,5,shaker_geom_var,0.8374473727737644,0.4547191836242042,0.8208552097245287,0.0013004421900509136,0.036061644305978524,0.21218470401754624,0.8684937778741822,0.4590015109425927,0.8425100998598238,0.0013362868242460407,0.03655525713554811,0.18884738977297025,0.0028945132398211473,0.5748311069632683,0.023738363152355762,0.0011572385051445279,0.03401820843525608,0.30542012043855965,0.40205674811318853
sin_cos_4d,4,hetero_quadratic,RF_Default,5,shaker_geom_std,0.8374473727737644,0.4547191836242042,0.8208552097245287,0.0441752179897216,0.21017901415155985,0.38727128943589423,0.8684937778741822,0.4590015109425927,0.8425100998598238,0.047398817515266756,0.2177126948877046,0.41930691537708986,0.0028945132398211473,0.5748311069632683,0.023738363152355706,0.03129654476327532,0.17690829478369668,0.2592850570171661,0.6433954879809376
sin_cos_4d,4,hetero_quadratic,RF_Default,5,standard_ari_var,0.816010690848294,0.45431197920391964,0.7880794246176404,0.002744812845203378,0.05239096148386072,0.17876132178430887,0.8462060530758724,0.45758384180472556,0.8138755421235048,0.002780306333989772,0.05272861020347276,0.1888282058307704,-0.0068253680823501545,0.5582635706425596,0.014823444894388312,0.002603012029027493,0.05101972196148753,0.138542892349909,0.482258512918
sin_cos_4d,4,hetero_quadratic,RF_Default,5,standard_ari_std,0.816010690848294,0.45431197920391964,0.7880794246176404,0.06043251287409135,0.245830252153984,0.43969641791776237,0.8462060530758724,0.45758384180472556,0.8138755421235048,0.06374060872196274,0.2524690252723346,0.46842047183240687,-0.0068253680823501545,0.5582635706425596,0.014823444894388324,0.0472162665355222,0.2172930429984407,0.3249403195953534,0.7003883576029505
sin_cos_4d,4,hetero_quadratic,RF_Default,5,standard_disagreement,0.7609577059938487,0.48240627905729194,0.7392661156317819,0.0014458566209413705,0.038024421375497226,0.2938364628613899,0.7575441077498446,0.4892069287978406,0.7469487243615516,0.001606133733783363,0.04007659833098816,0.25895149629025976,-0.007872853143151648,0.5889136521290969,0.014480705609591315,0.0008055300091482392,0.0283818605653019,0.4332061585772711,0.4538219473411591
sin_cos_10d,10,homoscedastic_high,RF_Overfit_Leaf1,2,shaker_entropy,0.0,-0.00406134769779281,0.0,12.838265067017376,3.58305247896502,12966188.514471285,0.0,-0.007326444595392962,0.0,12.819368985798098,3.580414638809044,13012997.93212508,0.0,0.009993086341345972,0.0,12.91398799395722,3.593603761401251,12778607.498494327,-331678841.58132535
sin_cos_10d,10,homoscedastic_high,RF_Overfit_Leaf1,2,shaker_geom_var,0.0,-0.00406134769779281,0.0,0.062143559171903104,0.2492860990346295,263.1245487748746,0.0,-0.007326444595392962,0.0,0.062143238573183435,0.24928545600011132,264.581076053438,0.0,0.009993086341345972,0.0,0.06214484391836163,0.24928867587269507,257.2877560864507,0.9955397078664407
sin_cos_10d,10,homoscedastic_high,RF_Overfit_Leaf1,2,shaker_geom_std,0.0,-0.00406134769779281,0.0,0.05043397255726785,0.22457509335914314,4.669814795953761,0.0,-0.007326444595392962,0.0,0.050420058980188316,0.2245441136618556,4.685092065694682,0.0,0.009993086341345972,0.0,0.050489728921163525,0.2246991965298575,4.60859365877682,0.9943056339608672
sin_cos_10d,10,homoscedastic_high,RF_Overfit_Leaf1,2,standard_ari_var,0.0,0.011851203461156248,0.0,0.01165061697850117,0.10793802378449019,0.8716524839141586,0.0,0.00810695036137615,0.0,0.011602591687387278,0.1077153270773815,0.8753730011485654,0.0,0.02771142902459994,0.0,0.011843070406705734,0.10882587195472285,0.8567431251190668,0.9976521277420991
