approach,noise_name,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_entropy,hetero_linear,0.8627327924989691,0.4208706492928808,0.6224647291235942,3.236569441598418,1.1769235091528998,1701832.0172723178,0.8763118193941319,0.46850674473882026,0.6351913319612185,3.290041455433489,1.213335162837472,1676324.4711403658,0.14897782258679879,0.05491891050232739,0.09426574886318133,3.022997761371386,0.9403589038585599,1804119.49963079,-74561310.23073757
shaker_entropy,hetero_localized,0.8431696865526868,0.5387136214554022,0.6406297593475165,3.289511353388886,1.1394358325657923,2784314.426508496,0.798926770146963,0.4583753169973705,0.6195087949853552,3.3222845568657418,1.1613228546589018,1616728.291338348,-0.006838544999410009,0.0066883717957657044,0.0014903388496224927,3.1586230111858518,1.015476675621929,7450334.70672197,-32815541.562023353
shaker_entropy,hetero_ood_step_double,-0.00481819296311624,0.09485217441663968,0.00456939010750043,5.054070591484876,1.7646478849428056,1260429.1415977203,0.0,0.09590292530851559,0.0,5.02198948581436,1.7588318692370797,770135.1529795453,0.0,0.09711103807585464,0.0,5.182147699450892,1.7844212057599673,3215034.997764553,-171923974.6875287
shaker_entropy,hetero_quadratic,0.7778563167236127,0.40461605186546057,0.568689225819677,3.758659735996266,1.258518640011064,1528644.0336657155,0.8186348908916812,0.416455081584965,0.5745078236321373,3.5356155868788135,1.2001632492211447,1551780.9600824898,0.005078027540990512,0.1348640767409243,0.004000758780165708,4.647622856796109,1.4484878706859954,1430985.5767123376,-137478213.31013134
shaker_entropy,hetero_sinusoidal,0.4334993260147,0.18452491387526815,0.08922365233293254,3.220641388339873,1.0230097011540578,2037602.2050345913,0.5817296915450538,0.2263329459495784,0.10732153145246175,3.2263403362105163,1.0322149209369917,2160748.896419748,0.008274155838944756,0.1001442900662767,-0.0006032544608184096,3.197392964326569,0.9761809632249259,1539682.0452759063,-90055600.94751197
shaker_entropy,homoscedastic_high,0.0,0.01276294461863166,0.0,2.939943337690597,1.290587567809488,2790110.4464474833,0.0,0.012542519140484456,0.0,2.9215834022390417,1.2877501887227547,2767346.59544028,0.0,0.01175664601053403,0.0,3.0128431082436036,1.3004840663383226,2881458.737981219,-66045288.50302915
shaker_entropy,homoscedastic_low,0.0,0.10911835176450342,0.0,5.0332578479347365,1.7591730626463677,984405.607758471,0.0,0.09590292530851559,0.0,5.02198948581436,1.7588318692370797,770135.1529795453,0.0,0.14273274717087672,0.0,5.0781720519315705,1.757202808205918,1835583.6550440937,-171923974.6875287
shaker_geom_std,hetero_linear,0.8627327924989691,0.4208706492928808,0.802862455448644,0.035831479533648077,0.182428124155356,0.7864416326733247,0.8763118193941319,0.46850674473882026,0.8346840246998893,0.036369281538302094,0.1843997762836817,0.7623071299843632,0.14897782258679879,0.05491891050232739,0.15018566653008356,0.03367528580972423,0.17182268782325213,0.8824918122215445,0.9355997548688512
shaker_geom_std,hetero_localized,0.8431696865526868,0.5387136214554022,0.8641759271642556,0.061708235912885254,0.2397260590967328,1.3196713778985592,0.798926770146963,0.4583753169973705,0.8326004150878625,0.03854034451378467,0.1892734516896113,0.6845336015134438,-0.006838544999410009,0.0066883717957657044,-0.004146712193216617,0.1543403204198651,0.35125892485555044,3.857832436729522,1.6244724992554802
shaker_geom_std,hetero_ood_step_double,-0.00481819296311624,0.09485217441663968,-0.0030438850969826525,0.012466680549408304,0.0929262591930488,-0.05190826101999329,0.0,0.09590292530851559,0.0,0.0133837280768542,0.09511207404653851,-0.17980707340777363,0.0,0.09711103807585464,0.0,0.008800405504134516,0.07672260211538429,0.45813015221792,1.0012039679934317
