approach,dim,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_entropy,1,0.49177488616291654,0.21146591298308212,0.30734948162626197,4.042665392793851,1.574281281009992,2681991.520534734,0.48607477653258324,0.26863671597787936,0.30271838486237074,3.925243739012401,1.5542258727467915,1850487.4838877858,0.10807602705713694,0.06511439513586763,0.06915996174382463,4.503319573013388,1.5783988498287305,5944045.818149684,-114809904.14666297
shaker_entropy,2,0.4328081203645233,0.2880292725174221,0.2566555946431622,3.684682636128004,1.3532124574344926,2113866.704123462,0.410226639424855,0.25683404745150157,0.2504626610146108,3.687589699989442,1.365180183972881,1577382.713318693,0.01140705218168552,0.20033081758423602,0.008800835880327337,3.6728115295127153,1.2796347586725305,4263095.967451573,-86425325.61234568
shaker_entropy,3,0.33337554525920965,0.2654966197310908,0.20942492352596528,3.3133851824955785,1.2154562775926034,1976263.538360188,0.3401074529574385,0.2533444498800497,0.20264353941009286,3.291802516789555,1.2167345142480734,1419248.271875844,0.01460364246604304,0.28909239904849987,0.01362339641199726,3.399689992406239,1.1992019346519667,4204197.620472535,-86754598.32097599
shaker_entropy,4,0.3728720340891944,0.3332979271642832,0.2692404562336942,3.04899269999136,1.1136542030638874,2047156.6723716944,0.3997123586664257,0.34269405949421694,0.28471277193605393,2.988880469835556,1.1090117793608685,1685821.0124270085,0.010582541159843745,0.2623715920107039,0.00256656571889573,3.2897280448339905,1.1176692044871313,3494487.395500257,-80194362.97179341
shaker_entropy,5,0.4074537443348845,0.30000848405911773,0.2988791917456082,3.291713704217029,1.164022242960868,2040692.721935246,0.4413147907991093,0.3082299121665396,0.30900789399788486,3.2446915308065076,1.157547275810427,1800637.8756766098,0.013688946319017783,0.15862654282290894,0.011081438293050382,3.4798092617825556,1.1720350030787692,3000955.9218676393,-93623214.310523
shaker_entropy,6,0.42054300863156224,0.2694580231972584,0.29793396571462144,3.5030286501644703,1.2286961700720513,1828505.5613537761,0.45440632026296285,0.2696566468340373,0.30512090682019305,3.4653896363143692,1.2251148091364752,1624699.5070666964,0.02084160246437328,0.1123064828157415,0.0171946192034053,3.6536863979647314,1.2220057646859561,2644274.9396923045,-100194447.39661124
shaker_entropy,7,0.4210373039593804,0.2551268649745136,0.2857358790449943,3.694978111475103,1.2963321202327684,1763476.656892095,0.45567632063039804,0.2576947204431228,0.28775091926312657,3.6731650219676424,1.2964686226103679,1590396.2276003503,0.01639293986570676,0.054177621145114485,0.012051588765166247,3.7821858557406487,1.2729194623394953,2455368.859336482,-107326686.04110801
shaker_entropy,8,0.41643511805689204,0.23897382137264514,0.27277259932412806,3.853207668986327,1.3462834552862273,1744756.0955126397,0.45029647906195147,0.2398279567658288,0.2759036714292534,3.8328193779031343,1.3476639376815769,1598295.3680489897,0.024413997257489904,0.027861327560603145,0.008893499526387728,3.934789674743377,1.316467320051684,2330948.7918294226,-113020028.61992969
shaker_entropy,9,0.4304721274808122,0.23842165583439437,0.2697582059525159,3.9782063564732244,1.3897843100394665,1723203.318366871,0.4632396762815017,0.2365578942758519,0.27360052533191653,3.962326262362465,1.3918034451553125,1618594.8178894005,0.012923476246434277,0.009355191963928887,0.008746380081219226,4.041765706326198,1.3541081548504919,2141870.871359349,-113301053.54243794
shaker_entropy,10,0.42634297742499555,0.23439629996576355,0.28115672828344485,4.027936265245534,1.4041518544851395,1712891.9418831952,0.45729817671310286,0.2316949075797551,0.27877883511643226,4.014644741537155,1.4069928931264764,1594193.0852034045,0.014112848219459427,-0.0019509576290733463,0.009977591227176317,4.081155039128525,1.364648073070543,2188148.434564275,-114723073.3533898
shaker_entropy,11,0.42366687539282194,0.2334902099316117,0.27669499424482724,4.069120379063644,1.416834955308393,1689134.7768569381,0.4543142596473864,0.2318249555721447,0.27795235060687185,4.0557757400812635,1.419525073910858,1577524.555967645,0.013250442230010841,4.676353721223611e-05,0.007890197968903886,4.12249549546719,1.3782476275386464,2135524.5358309983,-115843759.09152815
shaker_entropy,12,0.41810654608324177,0.22831443607840982,0.27244522968633694,4.074453996213979,1.4150244495283841,1682589.080732155,0.44672591682893303,0.2271838334650255,0.27276713808103387,4.062787336524584,1.418040667421175,1575873.614907714,0.017555089378317366,-0.006615553021101392,0.009299097654855704,4.121153504511496,1.3752914859042815,2109701.031923789,-116991632.30356956
shaker_entropy,13,0.41788055713798217,0.23178243574378193,0.2759578585319104,4.084860939534236,1.4172931955375183,1685264.6480651519,0.4465612168933047,0.2291955648979192,0.2754531623143058,4.072374529272218,1.4204899028010336,1571912.2662632398,0.0153445934522569,0.00029230574530184246,0.0067916625012482915,4.134779377227472,1.377219696679696,2138412.926985593,-117606847.59342466
shaker_entropy,14,0.415391524660524,0.22847658497046044,0.2763947263240731,4.094069150256757,1.417119431491695,1674959.0339529188,0.4433161249927494,0.22461042025985814,0.27714380965724783,4.084939879331508,1.4208219029067848,1580783.3967917983,0.020413810468100604,0.004165288629757568,0.011520746356538965,4.130597940400715,1.3754228769934993,2051725.524802526,-116815791.45303589
shaker_entropy,15,0.41278233559002836,0.22638725280927896,0.2758360723996426,4.094385359318726,1.4170597351332446,1679543.1825263535,0.4413077159740762,0.22348204142537614,0.275689463082547,4.080093038107174,1.4199150795068078,1576720.2038897977,0.01958897902124659,-0.000425473715645323,0.014874401593041134,4.1516028640250076,1.3794708450857596,2091239.686942578,-118377640.80371569
shaker_geom_std,1,0.49177488616291654,0.21146591298308212,0.4905847939416536,0.025604638329109523,0.14446547007081803,0.7728716441482338,0.48607477653258324,0.26863671597787936,0.4953385587662027,0.023773663055157875,0.1418696007530542,0.51189122923326,0.10807602705713694,0.06511439513586763,0.10897332222921853,0.03278769517307368,0.13741645741426317,1.7967178872762077,1.0886083867916276
shaker_geom_std,2,0.4328081203645233,0.2880292725174221,0.4317402643887785,0.045533849943628975,0.19136134513940678,0.797778122677518,0.410226639424855,0.25683404745150157,0.41381674928374,0.04249293313163634,0.1848080190684954,0.5809534250638564,0.01140705218168552,0.20033081758423602,0.010987224822122684,0.057728746223835094,0.20355958935846816,1.6665882603357742,1.1364904799146105
shaker_geom_std,3,0.33337554525920965,0.2654966197310908,0.3284978435077624,0.052020294973417106,0.2097727288522642,0.8227831134057255,0.3401074529574385,0.2533444498800497,0.3413976124360777,0.04912726649838572,0.2039641556537675,0.6141863119929577,0.01460364246604304,0.28909239904849987,0.017735318787110283,0.06359295191479966,0.21959848143770455,1.657054428432207,1.0240450907726086
