stratum,n_tasks,n_paired_runs,wins,losses,ties,win_rate_proposed,cliffs_delta_all_runs,demsar_task_wilcoxon_p,mean_norm_regret_proposed,mean_norm_regret_baseline
Overall (D=16 & D=32),144,4320,3363,825,132,0.7784722222222222,-0.04279642489711932,4.527502982566713e-25,0.3547618018394954,0.5492351044420292
High-D (D=16),75,2250,1739,443,68,0.7728888888888888,-0.05685807407407406,8.222637227841011e-14,0.3439578811673748,0.5347806712558342
Extreme (D=32),69,2070,1624,382,64,0.7845410628019324,-0.049934420873299246,6.78476634409704e-13,0.36650519387440905,0.5649464448618066
