iteration,config_id,optimizer_id,k,decay_lambda,eps,loss_normalized_regret
53,cfg_053,SMAC20_ProximityLCB_iter053,5,0.7983649839452,0.0498208897376,0.13814494988177065
54,cfg_054,SMAC20_ProximityLCB_iter054,26,1.6232616135003,0.1869023490641,0.02027904347203205
55,cfg_055,SMAC20_ProximityLCB_iter055,24,0.7983672415147,0.0523764280177,0.024965212267093768
56,cfg_056,SMAC20_ProximityLCB_iter056,19,0.8284938339927,0.0752098380589,0.024678831706042306
57,cfg_057,SMAC20_ProximityLCB_iter057,12,0.7984440603201,0.0754655059983,0.017170226046874047
58,cfg_058,SMAC20_ProximityLCB_iter058,13,1.613522519868,0.1154945223254,0.02426683687725391
59,cfg_059,SMAC20_ProximityLCB_iter059,13,0.9742175071182,0.1009652962684,0.026158391849928735
60,cfg_060,SMAC20_ProximityLCB_iter060,18,0.7983655274506,0.0545611144627,0.01829105040377212
61,cfg_061,SMAC20_ProximityLCB_iter061,18,0.7950437739355,0.0566374034425,0.021909435607805797
62,cfg_062,SMAC20_ProximityLCB_iter062,18,0.7971795041765,0.055288501697,0.017014635613788298
63,cfg_063,SMAC20_ProximityLCB_iter063,6,0.7185864940512,0.082538166453,0.02999750719893935
64,cfg_064,SMAC20_ProximityLCB_iter064,18,0.7970894475964,0.0551747297784,0.029923691944171864
65,cfg_065,SMAC20_ProximityLCB_iter065,29,0.456766896831,0.1225021338489,0.013847582729727395
66,cfg_066,SMAC20_ProximityLCB_iter066,18,0.7963668318206,0.0550759612322,0.024131530802589923
67,cfg_067,SMAC20_ProximityLCB_iter067,18,0.7959494332892,0.0537920382215,0.01855182697562692
68,cfg_068,SMAC20_ProximityLCB_iter068,28,0.4829139695205,0.126402512731,0.02000036767765708
69,cfg_069,SMAC20_ProximityLCB_iter069,29,0.3784962401494,0.1245190259468,0.019135440838787952
70,cfg_070,SMAC20_ProximityLCB_iter070,14,1.6865383496264,0.0462586998943,0.01811568431692367
71,cfg_071,SMAC20_ProximityLCB_iter071,19,0.8752920750474,0.0285395722999,0.01612362428425803
72,cfg_072,SMAC20_ProximityLCB_iter072,28,0.4338175811214,0.1198540880421,0.018492505917887942
73,cfg_073,SMAC20_ProximityLCB_iter073,23,1.4260529417852,0.1847637689342,0.021610401502180916
74,cfg_074,SMAC20_ProximityLCB_iter074,13,1.5081314703867,0.0763452922748,0.025098215620554462
75,cfg_075,SMAC20_ProximityLCB_iter075,28,0.3398392505312,0.1065308265321,0.018780875496621715
76,cfg_076,SMAC20_ProximityLCB_iter076,29,0.4534648796,0.1148880874101,0.019182050761063014
77,cfg_077,SMAC20_ProximityLCB_iter077,26,1.7848878373488,0.1609317531139,0.022239318502772984
78,cfg_078,SMAC20_ProximityLCB_iter078,30,0.4567360875436,0.1177407373441,0.01845217907029577
79,cfg_079,SMAC20_ProximityLCB_iter079,11,0.786497790883,0.1071185267119,0.02504656594735763
80,cfg_080,SMAC20_ProximityLCB_iter080,29,0.454193328502,0.1187585401604,0.020358253230275746
81,cfg_081,SMAC20_ProximityLCB_iter081,29,0.4557863769604,0.1184371527439,0.024802541960498376
82,cfg_082,SMAC20_ProximityLCB_iter082,30,0.4574915833843,0.1223249122947,0.030577979436761153
83,cfg_083,SMAC20_ProximityLCB_iter083,29,0.4561894081095,0.0670218750448,0.016899371306693625
84,cfg_084,SMAC20_ProximityLCB_iter084,29,0.4570880809638,0.1227693069605,0.02701682076218934
85,cfg_085,SMAC20_ProximityLCB_iter085,26,0.5215722430811,0.0919679314998,0.020011411727500636
86,cfg_086,SMAC20_ProximityLCB_iter086,29,0.456766896831,0.1225848534901,0.01396113489430511
