task_id,optimizer_id,n_seeds,Baseline Mean Regret,Proposed Mean Regret,Mean Diff,Rel Reduction (%),Win / Loss / Tie,Wilcoxon W,p_raw,Cliff's delta,Holm-Bonferroni adj p,Significance (adj p < 0.05)
ackley_2d,CARPSDynamicRF_AdditiveEpistemic_ei_distance_evidential,35,1.104406565327433,1.0689091920929392,-0.03549737323449387,-3.2141581143145097,20 / 14 / 1,284.0,0.817467886098501,0.04244897959183674,1.0,Non-significant
hartmann_6d,CARPSDynamicRF_AdditiveEpistemic_ei_distance_evidential,35,0.9608888723103904,1.1386125784635308,0.17772370615314037,18.495760672700484,13 / 21 / 1,204.0,0.1099263720448053,0.18285714285714286,0.3297791161344159,Non-significant
rosenbrock_2d,CARPSDynamicRF_AdditiveEpistemic_ei_distance_evidential,35,3.31784514740756,4.7765782548055995,1.4587331073980394,43.96628060046259,16 / 14 / 5,214.0,0.7035636998700077,-0.0946938775510204,1.0,Non-significant
synthetic_gap_2d,CARPSDynamicRF_AdditiveEpistemic_ei_distance_evidential,35,3.1395040142094097,2.5946242379755735,-0.5448797762338362,-17.35560055880508,24 / 9 / 2,158.0,0.02861072020154704,-0.20979591836734693,0.11444288080618815,Non-significant
