candidate_id,baseline_id,task_id,n_seeds,mean_cand_cost,sem_cand_cost,mean_base_cost,sem_base_cost,mean_diff,rel_improvement_pct,w_plus,w_minus,wilcoxon_w,p_raw,p_holm,p_bh,r_rb,cliffs_delta,cohens_d,is_significant,decision
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/bbob/2/12/0,30,75307.09422731906,28112.18380621691,17228.356931560487,7804.560478757041,58078.737295758576,-337.1112957926046,96.0,310.0,112.0,0.014354013116368582,0.1578941442800544,0.03229652951182931,0.5270935960591133,0.4533333333333333,0.38515868877259296,True,LOSS
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/bbob/2/12/1,30,1232.385134172764,525.7501318441592,-534.26511322627,53.9428107234415,1766.650247399034,-330.6692134043251,22.0,413.0,24.0,1.8820699202824002e-05,0.00031995188644800806,0.00016938629282541604,0.8988505747126436,0.8077777777777778,0.6026540172662102,True,LOSS
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/bbob/2/20/0,30,205.33112770941628,12.892229266975331,185.45408307890153,0.5519390664072109,19.877044630514746,-10.718040983793301,47.0,418.0,47.0,3.904104232788086e-05,0.0006246566772460938,0.00023424625396728516,0.7978494623655914,0.5933333333333334,0.29189905268656013,True,LOSS
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/bbob/4/6/1,30,85.01209901433293,5.3488461311211575,88.46911865969497,4.550383853531402,-3.4570196453620383,3.9076004121390637,271.0,194.0,194.0,0.4399667661637068,1.0,0.5279601193964482,-0.16559139784946236,-0.08888888888888889,-0.08843308909650978,False,TIE
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/hpobench/blackbox/tabular/ml/lr/146818,30,0.1557073170731708,0.00012895503458561314,0.15593495934959353,0.00017554329074774203,-0.00022764227642274593,0.14598540145984226,68.5,36.5,132.5,0.47221839077790106,1.0,0.5312456896251387,-0.3047619047619048,-0.10222222222222223,-0.21128989128437414,False,TIE
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/hpobench/blackbox/tabular/ml/rf/146212,30,0.0001370022059677371,1.8474532629362154e-05,4.605441387052877e-05,2.7544582687644886e-06,9.094779209720832e-05,-197.47899159652061,3.5,402.5,7.5,4.240893713948662e-06,7.633608685107593e-05,7.633608685107593e-05,0.9827586206896551,0.8155555555555556,0.9302859230498429,True,LOSS
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,30,2.3220712875904323e-06,8.623956260406554e-07,7.740237625301442e-07,5.377981607494259e-07,1.5480475250602882e-06,-199.99999999999997,9.0,27.0,53.0,0.15729920705028502,1.0,0.22781919900860106,0.5,0.13333333333333333,0.26276913640612176,False,TIE
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/yahpo/lcbench/168335/None,30,-97.60983149210612,0.23474062424276518,-96.27106628417968,0.38200932147357136,-1.3387652079264427,1.39062052556329,369.0,96.0,96.0,0.004031794145703316,0.05644511803984642,0.013841434248856135,-0.5870967741935483,-0.3711111111111111,-0.6143774070790993,True,WIN
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/yahpo/rbv2_aknn/1462/None,30,-0.9999112506707509,1.9236226214262895e-05,-0.999967892964681,1.9009435101767865e-06,5.664229393009812e-05,-0.005664411260462213,38.0,340.0,53.0,0.0002780580992852185,0.004170871489278277,0.001251261446783483,0.798941798941799,0.5688888888888889,0.5321668821311046,True,LOSS
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,SMAC3_HPOFacade_ei,blackbox/20/dev/yahpo/rbv2_aknn/312/None,30,-0.9669137597084045,0.0002460329324504131,-0.9666580061117808,0.00029936512206614707,-0.0002557535966237756,0.026457505654197334,301.0,164.0,164.0,0.1641840822994709,1.0,0.22781919900860106,-0.2946236559139785,-0.06222222222222222,-0.12796020615353543,False,TIE
