task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),1,1,10.905035244301335,10.441529328005421,0.5315673398253445,10.441529328005421,10.441529328005421,0.4635059162959142,0.0006597042083740234,"[-1.0033270157874, 4.2743327561766]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,2,11.901123616742813,12.695277011352719,0.6425925193989205,12.695277011352719,10.441529328005421,-0.794153394609906,0.0005552768707275391,"[4.7239508200437, -2.6800214778632]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,3,8.387787406196765,8.11611055071278,0.4179451234055474,8.11611055071278,8.11611055071278,0.2716768554839846,0.0005300045013427734,"[2.4835473578423, 1.0689385049045]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,4,10.494160045534034,10.250031427514548,0.5221665066457153,10.250031427514548,8.11611055071278,0.24412861801948615,0.0006868839263916016,"[-3.704476505518, -1.9792036525905]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,5,11.988403139889613,11.778720674303951,0.5973655930903522,11.778720674303951,8.11611055071278,0.20968246558566167,0.0006582736968994141,"[-4.6075763646513, 1.9393918011338]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,6,4.138330841890261,4.025450319428931,0.224745691138843,4.025450319428931,4.025450319428931,0.11288052246133065,0.0005440711975097656,"[0.8089752867818, -0.950080184266]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,7,10.60697085497731,10.768329664962028,0.5476242410935195,10.768329664962028,4.025450319428931,-0.16135880998471727,0.0005614757537841797,"[3.2738471217453, 2.7961533330381]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,8,11.421783737950532,11.13654187309115,0.5657352845879258,11.13654187309115,4.025450319428931,0.28524186485938097,0.0006875991821289062,"[-1.9749410357326, -4.312030877918]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,9,5.384744873269722,5.460622457631857,0.29076793850420213,5.460622457631857,4.025450319428931,-0.07587758436213461,0.0006508827209472656,"[-1.4641835540533, 0.0366521906108]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,10,9.116951379546016,9.314928593591226,0.4763609311848092,9.314928593591226,4.025450319428931,-0.1979772140452099,0.0005548000335693359,"[2.6651247870177, -1.6027412656695]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,11,11.159850054520321,11.314957595805648,0.5745177660326962,11.314957595805648,4.025450319428931,-0.15510754128532644,0.0006160736083984375,"[0.1270903367549, 4.6388372406363]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,12,12.907688662839734,12.165897061913148,0.6164597540007518,12.165897061913148,4.025450319428931,0.7417916009265852,0.0006651878356933594,"[-3.8283366151154, -3.7192684412003]"
