task,n_seeds,baseline_mean,baseline_std,baseline_median,proposed_mean,proposed_std,proposed_median,mean_reduction_pct,median_reduction_pct,wins,ties,losses,wilcoxon_stat,wilcoxon_pval,cliffs_delta,cliffs_delta_class,wilcoxon_pval_adjusted,statistically_significant_05
ackley_2d,30,2.2299761583392805,1.7483806211919055,2.595552698682943,1.949364593082851,1.1156751074515265,2.219592011565919,12.583612798147945,14.484802689916384,17,0,13,188.0,0.370740607380867,-0.05555555555555555,negligible,0.8756266983352065,False
rosenbrock_2d,30,3.7220017431187418,6.351495285171721,1.581598983158925,8.409461009525234,21.64826084695262,1.6618007653170133,-125.93920126643394,-5.0709303061071385,13,4,13,134.0,0.2918755661117355,0.08444444444444445,negligible,0.8756266983352065,False
rosenbrock_4d,30,802.499894861677,705.0973707010085,578.7169917034948,672.2171819181827,809.9059718007368,346.2314375248342,16.23460810121981,40.17258133277248,19,0,11,165.0,0.17059839516878128,-0.20222222222222222,small,0.6823935806751251,False
sphere_2d,30,0.49043289635430043,1.0369868665728676,0.1077867134934327,0.294826132456814,0.6045801640826397,0.0948395091585495,39.884511286162876,12.011874112547336,15,0,15,228.0,0.935398668050766,-0.03777777777777778,negligible,0.935398668050766,False
