dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
1,empty,distance_evidential,0.9870587375269564,0.08812749003984065,0.9860820235192358,0.5836700643266279,0.1039525218417559,0.07016303792411088,0.8893693491231517,0.902355771404255,0.7073005735586356,0.12738964700392696
1,empty,standard_disagreement,0.5589864395628495,0.5486852589641434,0.593933969634303,0.11319737984233479,0.1970348521250491,0.07016303792411088,0.6889858748850882,0.659694484076157,1.0332467103920793,0.18881710462643123
1,sparse,distance_evidential,0.9801410870280347,0.08749003984063744,0.9693001048814385,0.3692457863615203,0.09042433893574181,0.05045498130645835,0.8448328533304966,0.847302415471646,0.5412237588350255,0.23394438295513587
1,sparse,standard_disagreement,0.9671464600314339,0.23593625498007967,0.9604419643508509,0.351268127559126,0.09199189236092392,0.05045498130645835,0.9125380898760501,0.9088388700625037,-0.22945425041190398,0.13152380779163064
2,empty,distance_evidential,0.9915137354497354,0.056380952380952386,0.9890321524465568,0.28862627951338576,0.1164998979267714,0.0645762335960051,0.8953786252270776,0.9037881100862762,0.6267552958884637,0.14311104627791577
2,empty,standard_disagreement,0.6556768677248677,0.6370285714285714,0.528313213035537,0.16042202705075176,0.1262642702230853,0.0645762335960051,0.42981794131498235,0.4175733280656197,-0.015265227513408126,0.2134888166826446
2,sparse,distance_evidential,0.9377925079365079,0.41131428571428574,0.9184556598403539,0.09993163052734313,0.11235735145122876,0.05648719487155529,0.6197509068693484,0.6410243184617603,0.5629306455708789,0.23104732557845734
2,sparse,standard_disagreement,0.682298582010582,0.6513523809523809,0.565092319052243,0.09072231175285028,0.11329223614910561,0.05648719487155529,0.3814381217140028,0.37326017199340283,-0.06945140729591627,0.20833077799454963
3,empty,distance_evidential,0.8381262786596121,0.5401904761904762,0.7022189289706309,0.30149504184573067,0.15176465235582545,0.09170808814291456,0.4041609737259787,0.40257201446404617,0.8077968994052034,0.24059163691243474
3,empty,standard_disagreement,0.5901044091710759,0.6870476190476191,0.4121106484649183,0.2506112711535807,0.15385466817678847,0.09170808814291456,0.3630024792220666,0.3390546182130611,0.31508784595938827,0.23490662535588847
3,sparse,distance_evidential,0.5149534391534392,0.9134285714285714,0.3420101185490788,0.24146639325069127,0.1373947924723764,0.08092663039556194,0.09946039431913224,0.09244309527923997,0.7533422147188786,0.3068589507262349
3,sparse,standard_disagreement,0.5023308641975308,0.7696825396825396,0.32265973276798304,0.2926098428119467,0.13290083602554684,0.08092663039556194,0.3044748891645519,0.281451099255766,0.25635002350465824,0.25762853668801783
4,empty,distance_evidential,0.6584360317460317,0.787,0.41853364107716823,0.33859633019633023,0.17862432902323988,0.10645464156096004,0.1487158499238498,0.13854881988578302,0.8904184804579297,0.3029045700884935
