Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo,-0.986022,0.001256,0.000561,5/5,-0.988231,-0.985092
shaker_entropy,-0.985067,0.004389,0.001963,5/5,-0.988323,-0.977618
likelihood_credal,-0.984351,0.003911,0.001749,5/5,-0.987754,-0.977618
chen_variance,-0.982438,0.003658,0.001636,5/5,-0.986436,-0.977618
proximity_b,-0.980827,0.007551,0.003377,5/5,-0.988323,-0.969218
standard_disagreement,-0.980643,0.006671,0.002983,5/5,-0.986387,-0.970312
standard_proximity,-0.980366,0.007063,0.003159,5/5,-0.985748,-0.969218
proximity_bc,-0.980141,0.006559,0.002933,5/5,-0.986034,-0.969912
