Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
standard_proximity,-0.955747,0.024525,0.010968,5/5,-0.999546,-0.942680
proximity_bc,-0.945278,0.010298,0.004606,5/5,-0.958215,-0.930413
proximity_b,-0.944687,0.008527,0.003813,5/5,-0.958215,-0.938806
shaker_entropy,-0.941432,0.007110,0.003180,5/5,-0.950276,-0.933321
standard_disagreement,-0.940918,0.006804,0.003043,5/5,-0.948873,-0.930197
smac3_bo,-0.937371,0.008824,0.003946,5/5,-0.948057,-0.929743
likelihood_credal,-0.935887,0.008511,0.003806,5/5,-0.943340,-0.921431
chen_variance,-0.933514,0.009555,0.004273,5/5,-0.943066,-0.919391
