Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
chen_variance,-0.998163,0.003724,0.001665,5/5,-1.000000,-0.991516
smac3_bo,-0.997214,0.006003,0.002685,5/5,-1.000000,-0.986479
likelihood_credal,-0.996000,0.005137,0.002298,5/5,-1.000000,-0.988683
shaker_entropy,-0.994875,0.004337,0.001940,5/5,-0.999884,-0.990750
standard_disagreement,-0.993994,0.003384,0.001513,5/5,-0.999832,-0.991717
standard_proximity,-0.992090,0.007505,0.003356,5/5,-1.000000,-0.983031
proximity_bc,-0.992044,0.000933,0.000417,5/5,-0.993119,-0.990750
proximity_b,-0.991815,0.002058,0.000921,5/5,-0.994050,-0.988631
