UQ Extractor,Additive Mean Regret,Direct Mean Regret,Diff (Add - Dir),Additive Win/Loss/Tie,Wilcoxon W,p_raw,Cliff's delta,Holm-Bonferroni adj p
proximity_bc,0.03375599545471227,0.042458298798868546,-0.008702303344156274,8 / 8 / 2,47.0,0.27753025059514513,-0.012345679012345678,1.0
likelihood_credal,0.026149986355155714,0.04420364628531982,-0.01805365993016411,7 / 9 / 2,49.0,0.32587002429697964,-0.1111111111111111,1.0
proximity_auto_lambda,0.04022505765964204,0.041031442381769166,-0.0008063847221271292,8 / 9 / 1,59.0,0.40743445607773554,0.037037037037037035,1.0
shaker_entropy,0.036777937396500635,0.03660418459185177,0.0001737528046488676,6 / 9 / 3,56.0,0.8202800980995039,0.08333333333333333,1.0
standard_disagreement,0.03595247494166905,0.04024393346030484,-0.004291458518635785,7 / 10 / 1,74.0,0.9057940914405992,0.0,1.0
proximity_b,0.03313802427115177,0.044414444462358954,-0.011276420191207184,6 / 10 / 2,67.0,0.9587607499379828,-0.006172839506172839,1.0
standard_proximity,0.0355050944428814,0.03255073573237959,0.0029543587105018074,7 / 10 / 1,76.0,0.981116590883351,0.1574074074074074,1.0
