Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
standard_proximity,-94.453189,0.392685,0.175614,5/5,-94.835251,-93.834190
proximity_auto_lambda,-94.409616,0.331289,0.148157,5/5,-94.675545,-93.837738
proximity_bc,-94.172371,0.131988,0.059027,5/5,-94.255852,-93.940529
chen_variance,-94.127931,0.316814,0.141684,5/5,-94.563675,-93.776527
proximity_b,-94.114813,0.447855,0.200287,5/5,-94.439949,-93.347595
likelihood_credal,-94.107108,0.327689,0.146547,5/5,-94.596565,-93.769447
standard_disagreement,-94.066708,0.213542,0.095499,5/5,-94.299248,-93.799667
shaker_entropy,-93.963670,0.284804,0.127368,5/5,-94.255852,-93.556633
smac3_bo,-93.825473,0.269942,0.120722,5/5,-94.255852,-93.510902
