Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
proximity_bc,-0.997501,0.000000,0.000000,1/5,-0.997501,-0.997501
standard_proximity,-0.996919,0.000000,0.000000,1/5,-0.996919,-0.996919
chen_variance,-0.996810,0.000000,0.000000,1/5,-0.996810,-0.996810
likelihood_credal,-0.996071,0.000000,0.000000,1/5,-0.996071,-0.996071
proximity_b,-0.994497,0.000000,0.000000,1/5,-0.994497,-0.994497
standard_disagreement,-0.994459,0.000000,0.000000,1/5,-0.994459,-0.994459
shaker_entropy,-0.993889,0.000000,0.000000,1/5,-0.993889,-0.993889
proximity_auto_lambda,-0.992133,0.000000,0.000000,1/5,-0.992133,-0.992133
smac3_bo,-0.988025,0.010150,0.005075,4/5,-0.995281,-0.973034
