Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
proximity_auto_lambda,-0.837350,0.000000,0.000000,1/5,-0.837350,-0.837350
proximity_b,-0.837350,0.000000,0.000000,1/5,-0.837350,-0.837350
proximity_bc,-0.829806,0.000000,0.000000,1/5,-0.829806,-0.829806
standard_disagreement,-0.829806,0.000000,0.000000,1/5,-0.829806,-0.829806
standard_proximity,-0.826367,0.000000,0.000000,1/5,-0.826367,-0.826367
likelihood_credal,-0.823805,0.000000,0.000000,1/5,-0.823805,-0.823805
chen_variance,-0.794352,0.000000,0.000000,1/5,-0.794352,-0.794352
shaker_entropy,-0.769929,0.000000,0.000000,1/5,-0.769929,-0.769929
