Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
likelihood_credal,-0.840631,0.044236,0.019783,5/5,-0.914041,-0.806674
standard_proximity,-0.828844,0.001479,0.000662,5/5,-0.830682,-0.827432
smac3_bo,-0.820436,0.009417,0.004211,5/5,-0.829880,-0.805899
standard_disagreement,-0.819358,0.012775,0.005713,5/5,-0.831425,-0.802118
proximity_b,-0.819343,0.015208,0.006801,5/5,-0.830720,-0.796075
chen_variance,-0.817599,0.009871,0.004414,5/5,-0.830312,-0.805147
proximity_bc,-0.814307,0.014081,0.006297,5/5,-0.826326,-0.791429
proximity_auto_lambda,-0.814127,0.014934,0.006679,5/5,-0.829220,-0.791429
shaker_entropy,-0.807557,0.013197,0.005902,5/5,-0.821250,-0.790343
