Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo,-0.964003,0.012770,0.005711,5/5,-0.976209,-0.948458
shaker_entropy,-0.952954,0.000000,0.000000,1/5,-0.952954,-0.952954
standard_disagreement,-0.950655,0.000000,0.000000,1/5,-0.950655,-0.950655
proximity_auto_lambda,-0.950282,0.000000,0.000000,1/5,-0.950282,-0.950282
proximity_bc,-0.950282,0.000000,0.000000,1/5,-0.950282,-0.950282
chen_variance,-0.950039,0.000000,0.000000,1/5,-0.950039,-0.950039
proximity_b,-0.949863,0.000000,0.000000,1/5,-0.949863,-0.949863
likelihood_credal,-0.945839,0.000000,0.000000,1/5,-0.945839,-0.945839
standard_proximity,-0.944251,0.000000,0.000000,1/5,-0.944251,-0.944251
