Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo,-0.998283,0.002473,0.001106,5/5,-0.999487,-0.993862
chen_variance,-0.998256,0.002347,0.001050,5/5,-0.999483,-0.994072
standard_disagreement,-0.998201,0.002721,0.001217,5/5,-0.999474,-0.993333
likelihood_credal,-0.996918,0.004481,0.002004,5/5,-0.999293,-0.988934
shaker_entropy,-0.992875,0.003018,0.001350,5/5,-0.996738,-0.988857
proximity_bc,-0.992407,0.009015,0.004032,5/5,-0.999443,-0.977372
proximity_b,-0.992307,0.008961,0.004008,5/5,-0.999289,-0.977372
standard_proximity,-0.990803,0.007543,0.003373,5/5,-0.995158,-0.977372
proximity_auto_lambda,-0.990769,0.008129,0.003635,5/5,-0.999306,-0.977372
