Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
likelihood_credal,-0.962362,0.000000,0.000000,1/5,-0.962362,-0.962362
proximity_b,-0.962362,0.000000,0.000000,1/5,-0.962362,-0.962362
standard_disagreement,-0.962362,0.000000,0.000000,1/5,-0.962362,-0.962362
proximity_auto_lambda,-0.958932,0.000000,0.000000,1/5,-0.958932,-0.958932
proximity_bc,-0.958932,0.000000,0.000000,1/5,-0.958932,-0.958932
shaker_entropy,-0.958932,0.000000,0.000000,1/5,-0.958932,-0.958932
chen_variance,-0.956862,0.000000,0.000000,1/5,-0.956862,-0.956862
standard_proximity,-0.955325,0.000000,0.000000,1/5,-0.955325,-0.955325
