approach,global_spearman_true_mean,global_spearman_true_sem,global_spearman_resid_mean,global_spearman_resid_sem,global_log_pearson_true_mean,global_log_pearson_true_sem,global_mse_var_mean,global_mse_var_sem,global_rmse_var_mean,global_rmse_var_sem,global_nlpd_aleatoric_mean,global_nlpd_aleatoric_sem,id_only_spearman_true_mean,id_only_spearman_true_sem,id_only_spearman_resid_mean,id_only_spearman_resid_sem,id_only_log_pearson_true_mean,id_only_log_pearson_true_sem,id_only_mse_var_mean,id_only_mse_var_sem,id_only_rmse_var_mean,id_only_rmse_var_sem,id_only_nlpd_aleatoric_mean,id_only_nlpd_aleatoric_sem,ood_only_spearman_true_mean,ood_only_spearman_true_sem,ood_only_spearman_resid_mean,ood_only_spearman_resid_sem,ood_only_log_pearson_true_mean,ood_only_log_pearson_true_sem,ood_only_mse_var_mean,ood_only_mse_var_sem,ood_only_rmse_var_mean,ood_only_rmse_var_sem,ood_only_nlpd_aleatoric_mean,ood_only_nlpd_aleatoric_sem,ood_id_variance_ratio_mean,ood_id_variance_ratio_sem
shaker_entropy,0.4501,0.1056,0.2415,0.0441,-0.0336,0.1103,0.7567,0.3794,0.7883,0.2124,2762003.3773,215579.769,0.3535,0.2062,0.1026,0.0729,0.0744,0.0766,0.9327,0.4681,0.8757,0.2351,1424206.5825,397391.2989,-0.0055,0.0198,0.0089,0.0687,-0.0494,0.0494,0.3542,0.1963,0.4984,0.1878,5840160.0625,762851.6977,-40480332.724,19321894.7316
shaker_geom_std,0.4501,0.1056,0.2415,0.0441,0.4671,0.0764,0.0232,0.0065,0.1469,0.0235,0.1995,0.0824,0.3535,0.2062,0.1026,0.0729,0.3834,0.2229,0.0204,0.0053,0.1383,0.0204,0.0817,0.1195,-0.0055,0.0198,0.0089,0.0687,-0.0214,0.0171,0.0298,0.0097,0.1644,0.0305,0.4706,0.0216,1.2043,0.0906
shaker_geom_var,0.4501,0.1056,0.2415,0.0441,0.4671,0.0764,0.0005,0.0002,0.022,0.0045,0.357,0.0619,0.3535,0.2062,0.1026,0.0729,0.3834,0.2229,0.0003,0.0001,0.0166,0.0047,-0.2295,0.2008,-0.0055,0.0198,0.0089,0.0687,-0.0214,0.0171,0.001,0.0004,0.0301,0.0059,1.7075,0.618,1.4054,0.221
standard_ari_std,0.4877,0.0919,0.2536,0.0501,0.4904,0.0679,0.0263,0.0075,0.1561,0.0255,0.2157,0.0836,0.3592,0.2111,0.1055,0.0738,0.3887,0.2267,0.0234,0.0062,0.1477,0.0227,0.1037,0.1195,-0.0079,0.022,0.0233,0.0769,-0.0231,0.019,0.0332,0.0106,0.1734,0.032,0.4732,0.0204,1.1934,0.0844
standard_ari_var,0.4877,0.0919,0.2536,0.0501,0.4904,0.0679,0.0006,0.0002,0.0235,0.005,0.2745,0.0726,0.3592,0.2111,0.1055,0.0738,0.3887,0.2267,0.0004,0.0001,0.0177,0.0047,-0.2543,0.1949,-0.0079,0.022,0.0233,0.0769,-0.0231,0.019,0.0012,0.0005,0.032,0.0076,1.4907,0.5691,1.3796,0.2081
standard_disagreement,0.2995,0.0757,0.1227,0.0696,0.2993,0.0703,0.0008,0.0003,0.0272,0.0054,4.0304,2.3691,0.2762,0.1702,0.0517,0.0795,0.2945,0.1785,0.0009,0.0005,0.0261,0.0093,1.5445,0.9716,-0.0255,0.0388,-0.014,0.0584,-0.0279,0.025,0.0006,0.0003,0.0219,0.006,9.718,6.685,1.1304,0.1446
