approach,dim,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_entropy,1,0.569989327387695,0.2884010344154403,-0.003234654765192334,1.1368182754440692,1.0054695360501942,3020069.3224026626,0.38999974475802995,0.08280558392917946,-0.003234654765192334,1.4462685912311377,1.1447396983923723,1528586.5305253603,0.018465313856925326,-0.10963225241337865,0.0,0.4306367855710151,0.5210434670202758,6423709.539763685,-49268846.17839148
shaker_entropy,2,0.33013324261002397,0.19450519989836762,-0.06387404213182475,0.37661127829706836,0.5711338091882676,2503937.432221697,0.31694495009729456,0.12234427635846254,0.15208319281267993,0.41909454182524003,0.6067465875524073,1319826.6345708151,-0.029372136890960448,0.12749176804897086,-0.09886817224821873,0.2778514838614486,0.47575602136767625,5256610.58520232,-31691819.269673202
shaker_geom_std,1,0.569989327387695,0.2884010344154403,0.5630662833676303,0.018789979648283477,0.12977818544843217,0.14163386283184864,0.38999974475802995,0.08280558392917946,0.41509125722898715,0.015639759771847336,0.11957730603134722,0.01166899545261775,0.018465313856925326,-0.10963225241337865,-0.007001546103073783,0.025978942956048013,0.15013250841526157,0.43822035505624757,1.3014086584482403
shaker_geom_std,2,0.33013324261002397,0.19450519989836762,0.37110380381918073,0.027682540554948957,0.1640505113246722,0.25741225723033284,0.31694495009729456,0.12234427635846254,0.3516633233884503,0.025126352544909095,0.1571054553866671,0.15175164237385777,-0.029372136890960448,0.12749176804897086,-0.03582747933287242,0.03362484774711953,0.17857951496694158,0.5030388813772033,1.107242179156556
shaker_geom_var,1,0.569989327387695,0.2884010344154403,0.5630662833676303,0.00048100799310715135,0.02058523551013859,0.41328874066922505,0.38999974475802995,0.08280558392917946,0.41509125722898726,0.00031263818213747243,0.014428617088014429,-0.19498607961746162,0.018465313856925326,-0.10963225241337865,-0.007001546103073783,0.0008652365360892395,0.02878179866170439,1.8014030741439715,1.5720510547128295
shaker_geom_var,2,0.33013324261002397,0.19450519989836762,0.37110380381918073,0.0006055777972818861,0.023384797059823846,0.3007085713183763,0.31694495009729456,0.12234427635846254,0.3516633233884503,0.0003703516110842002,0.018748762206256174,-0.26401779160315386,-0.029372136890960448,0.12749176804897086,-0.03582747933287246,0.0011524023080531295,0.031375413225313474,1.6135140123956992,1.2386723569303006
standard_ari_std,1,0.6069801524593328,0.2962003895385317,0.5828612287967063,0.02001252855606192,0.13387585870515534,0.15133524795136785,0.4076074466969156,0.10456247871978214,0.4281427486707525,0.017007710071014558,0.12456012075029023,0.024884232351636518,0.018465313856925326,-0.10963225241337865,-0.0065588268345987966,0.02686967843219565,0.1526892603463058,0.4399029502174215,1.2721394984353895
standard_ari_std,2,0.36847639679524347,0.21096027397119343,0.39797416547417785,0.03264456671098892,0.1783595107018082,0.2799798869315589,0.31086456175590566,0.10644131985855668,0.34920136493933834,0.029722154644485393,0.17090222574115654,0.18256080202345143,-0.03423572635153568,0.15631839423016408,-0.03967143640126469,0.03943822593052311,0.1941630985599279,0.5064476297698868,1.1146461160225496
standard_ari_var,1,0.6069801524593328,0.2962003895385317,0.5828612287967062,0.00046634293271402436,0.02025112093451148,0.36200418228359094,0.4076074466969156,0.10456247871978214,0.4281427486707526,0.00027090463527284066,0.013467352579167846,-0.24571001828097666,0.018465313856925326,-0.10963225241337865,-0.0065588268345987966,0.0009123431499515975,0.0293659447672113,1.7488391528027323,1.5108526095604777
standard_ari_var,2,0.36847639679524347,0.21096027397119343,0.39797416547417785,0.0007883475705755898,0.02679737288882672,0.18691328837034904,0.31086456175590566,0.10644131985855668,0.34920136493933834,0.0004868270911438579,0.02183414976836441,-0.26289466491632885,-0.03423572635153568,0.15631839423016408,-0.03967143640126467,0.001489284788994811,0.0347103818288093,1.2325707382186004,1.2484355356059842
standard_disagreement,1,0.3059454161312106,0.03778826309914456,0.3150823184844361,0.0010202128898961966,0.030691726113907275,7.401785533184883,0.3489321315097081,-0.025834184542049707,0.3610326931475422,0.0011373523367351635,0.02746100401173114,3.1136872218848337,0.018465313856925326,0.025388521611519263,-0.004544135583326583,0.0007528946650585537,0.023376716832890592,17.187445782049096,0.9330607132506865
standard_disagreement,2,0.2929685193391185,0.20760638903393067,0.2835443358340531,0.0006411011839873314,0.023807661276371635,0.6590674006204786,0.20353189797669116,0.12929508505429665,0.22802750151694395,0.000735799448649111,0.024667736427535517,-0.024685252513134998,-0.0695427568680359,-0.05328916668424867,-0.051254926022577495,0.0004209584648385192,0.020444690032213716,2.2485703215414765,1.3277204063111752
