approach,noise_name,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_entropy,hetero_ood_step_double,0.5115091332115989,0.3016083211215339,-0.1652640688547478,1.2416489566901796,1.0779470406473983,2650796.0866540456,0.0,0.01403267500185458,0.0,1.4915513877149684,1.1728892625434737,774549.0587572306,0.0,0.013659409334111444,0.0,0.6700817817327489,0.8113446250758538,6970134.24274684,-71945324.26286152
shaker_entropy,hetero_sinusoidal,0.38861343678612015,0.181297913192274,0.0981553719577307,0.27178059705095775,0.4986563045910634,2873210.6679703146,0.7069446948553245,0.19111718528578742,0.1488485380474876,0.37381174534140954,0.578597023401306,2073864.106338945,-0.010906823034035121,0.004200106301480759,-0.09886817224821873,0.03840648769971473,0.18545486331209837,4710185.882219165,-9015341.185203154
shaker_geom_std,hetero_ood_step_double,0.5115091332115989,0.3016083211215339,0.5039571263416394,0.012956805969404845,0.11097435584983065,0.07240002310106469,0.0,0.01403267500185458,0.0,0.012692861061843794,0.10949299485559336,-0.10865497440633115,0.0,0.013659409334111444,0.0,0.013560728835922721,0.11421188989327005,0.48893297224985127,1.3211486987755094
shaker_geom_std,hetero_sinusoidal,0.38861343678612015,0.181297913192274,0.43021296084517163,0.03351571423382759,0.1828543409232737,0.3266460969611168,0.7069446948553245,0.19111718528578742,0.7667545806174374,0.028073251254912633,0.16718976656242096,0.2720756122328067,-0.010906823034035121,0.004200106301480759,-0.0428290254359462,0.04604306186724483,0.2145001334889331,0.45232626418359967,1.0875021388292871
shaker_geom_var,hetero_ood_step_double,0.5115091332115989,0.3016083211215339,0.5039571263416394,0.0002083199306327484,0.014369884671638128,0.43312832185005584,0.0,0.01403267500185458,0.0,0.00011266157809140291,0.00930857666580592,-0.5748269265938505,0.0,0.013659409334111444,0.0,0.0004274600201185511,0.020563152324203922,2.752783039033175,1.7291588597058039
shaker_geom_var,hetero_sinusoidal,0.38861343678612015,0.181297913192274,0.4302129608451717,0.000878265859756289,0.02960014789832431,0.2808689901375455,0.7069446948553245,0.19111718528578742,0.7667545806174376,0.0005703282151302697,0.023868802628464685,0.11582305537323498,-0.010906823034035121,0.004200106301480759,-0.042829025435946244,0.001590178824023818,0.03959405956281394,0.6621340475064961,1.0815645519373263
standard_ari_std,hetero_ood_step_double,0.5541556899745328,0.3283478878859313,0.533047035288841,0.015062456176278934,0.11883449329293841,0.08905713556907179,0.0,0.01989512537971516,0.0,0.01467601563819425,0.11707259685318654,-0.08309498215730449,0.0,0.026751666368524774,0.0,0.015952515261817474,0.12276130505269517,0.4850037294593107,1.3122243554735435
standard_ari_std,hetero_sinusoidal,0.42130085928004357,0.1788127756237939,0.4477883589820431,0.03759463909077191,0.19340087611402512,0.342257999313855,0.7184720084528213,0.19110867319862365,0.7773441136100909,0.0320538490773057,0.1783897496382602,0.2905400165323924,-0.01577041249461035,0.019934475448260644,-0.04623026323586349,0.05035538910090129,0.22409105385353853,0.4613468505279975,1.0745612589843954
standard_ari_var,hetero_ood_step_double,0.5541556899745328,0.3283478878859313,0.533047035288841,0.00025088173390422824,0.015584030586269674,0.31074978556337074,0.0,0.01989512537971516,0.0,0.000182054093572794,0.011330814606695225,-0.5905801680920226,0.0,0.026751666368524774,0.0,0.00040775981899953046,0.020069998413925615,2.382793713847935,1.6988628708957707
standard_ari_var,hetero_sinusoidal,0.42130085928004357,0.1788127756237939,0.44778835898204306,0.0010038087693853858,0.03146446323706852,0.23816768509056926,0.7184720084528213,0.19110867319862365,0.7773441136100909,0.0005756776328439046,0.023970687740837035,0.08197548489471704,-0.01577041249461035,0.019934475448260644,-0.04623026323586347,0.001993868119946878,0.04400632818209498,0.5986161771733974,1.0604252742706912
standard_disagreement,hetero_ood_step_double,0.2927905242309324,0.13896869284532365,0.27202811606815125,0.00035398318951380655,0.018517514390971927,5.610606252681104,0.0,-0.028194410364393435,0.0,0.00012065931918677758,0.010634626037792798,0.9506214295206536,0.0,0.05460258938782837,0.0,0.0008875382929378671,0.02823229508398957,16.266320202288764,1.270405902271154
standard_disagreement,hetero_sinusoidal,0.30612341123939674,0.10642595928775159,0.3265985382503379,0.0013073308843697213,0.03598187299930698,2.4502466811242574,0.5524640294863993,0.13165531087664037,0.5890601946644862,0.0017524924661974969,0.04149411440147386,2.138380539851045,-0.05107744301111058,-0.08250323446055777,-0.055799061605904074,0.0002863148369592059,0.015589111781114738,3.1696959013018065,0.9903752172907075
