Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
chen_variance,-0.998163,0.003724,0.001665,5/5,-1.0,-0.991516
smac3_bo,-0.997214,0.006003,0.002685,5/5,-1.0,-0.986479
likelihood_credal,-0.996,0.005137,0.002298,5/5,-1.0,-0.988683
proximity_auto_lambda,-0.995554,0.007026,0.003142,5/5,-1.0,-0.98392
shaker_entropy,-0.994875,0.004337,0.00194,5/5,-0.999884,-0.99075
standard_disagreement,-0.993994,0.003384,0.001513,5/5,-0.999832,-0.991717
standard_proximity,-0.99209,0.007505,0.003356,5/5,-1.0,-0.983031
proximity_bc,-0.992044,0.000933,0.000417,5/5,-0.993119,-0.99075
proximity_b,-0.991815,0.002058,0.000921,5/5,-0.99405,-0.988631
