Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
shaker_entropy,0.03266,0.0,0.0,5/5,0.03266,0.03266
standard_proximity,0.03266,0.0,0.0,5/5,0.03266,0.03266
smac3_bo,0.03266,0.0,0.0,5/5,0.03266,0.03266
likelihood_credal,0.032727,0.000151,6.7e-05,5/5,0.03266,0.032997
proximity_b,0.032727,0.000151,6.7e-05,5/5,0.03266,0.032997
standard_disagreement,0.032795,0.000184,8.2e-05,5/5,0.03266,0.032997
chen_variance,0.032795,0.000301,0.000135,5/5,0.03266,0.033333
proximity_auto_lambda,0.032795,0.000301,0.000135,5/5,0.03266,0.033333
proximity_bc,0.032997,0.000476,0.000213,5/5,0.03266,0.03367
