Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
smac3_bo,0.014442,0.000319,0.000143,5/5,0.014105,0.014737
proximity_bc,0.014568,0.000274,0.000123,5/5,0.014105,0.014737
shaker_entropy,0.014611,0.000319,0.000143,5/5,0.014105,0.014947
likelihood_credal,0.014611,0.000115,5.2e-05,5/5,0.014526,0.014737
proximity_b,0.014611,0.000319,0.000143,5/5,0.014105,0.014947
proximity_auto_lambda,0.014653,0.000188,8.4e-05,5/5,0.014526,0.014947
chen_variance,0.014779,0.000176,7.9e-05,5/5,0.014526,0.014947
standard_disagreement,0.014905,0.000603,0.00027,5/5,0.014105,0.015789
standard_proximity,0.016084,0.003609,0.001614,5/5,0.014105,0.022526
