Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
proximity_bc,-86.082092,2.677437,1.197386,5/5,-88.096909,-81.592644
standard_proximity,-85.964148,1.465299,0.655302,5/5,-87.056595,-83.510033
proximity_b,-85.933081,1.123617,0.502497,5/5,-87.61731,-84.858459
chen_variance,-85.666765,1.13231,0.506385,5/5,-86.748962,-84.010078
standard_disagreement,-84.768405,2.780348,1.243409,5/5,-86.676186,-80.002594
shaker_entropy,-84.505048,2.829753,1.265504,5/5,-86.918884,-79.809952
smac3_bo,-84.470422,3.531822,1.579479,5/5,-87.798317,-79.116096
likelihood_credal,-83.943721,1.905605,0.852213,5/5,-86.500458,-82.063675
proximity_auto_lambda,-82.572829,2.918669,1.305269,5/5,-86.195442,-78.844788
