Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
shaker_entropy,0.002232,0.000115,5.2e-05,5/5,0.002105,0.002316
smac3_bo,0.002232,0.000115,5.2e-05,5/5,0.002105,0.002316
likelihood_credal,0.002274,9.4e-05,4.2e-05,5/5,0.002105,0.002316
proximity_auto_lambda,0.002274,9.4e-05,4.2e-05,5/5,0.002105,0.002316
chen_variance,0.002316,0.0,0.0,5/5,0.002316,0.002316
standard_proximity,0.002316,0.0,0.0,5/5,0.002316,0.002316
proximity_bc,0.002316,0.0,0.0,5/5,0.002316,0.002316
proximity_b,0.002316,0.000149,6.7e-05,5/5,0.002105,0.002526
standard_disagreement,0.002358,9.4e-05,4.2e-05,5/5,0.002316,0.002526
