Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
standard_disagreement,0.253872,0.0,0.0,5/5,0.253872,0.253872
chen_variance,0.253872,0.0,0.0,5/5,0.253872,0.253872
standard_proximity,0.254276,0.000903,0.000404,5/5,0.253872,0.255892
shaker_entropy,0.254411,0.001205,0.000539,5/5,0.253872,0.256566
proximity_b,0.254545,0.001506,0.000673,5/5,0.253872,0.257239
proximity_bc,0.254815,0.001313,0.000587,5/5,0.253872,0.256566
likelihood_credal,0.254949,0.001475,0.00066,5/5,0.253872,0.256566
smac3_bo,0.2567,0.002203,0.000985,5/5,0.253872,0.259933
proximity_auto_lambda,0.257508,0.002881,0.001288,5/5,0.253872,0.261953
