Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
chen_variance,-0.888824,0.066110,0.029565,5/5,-0.960149,-0.823893
proximity_b,-0.872115,0.057230,0.025594,5/5,-0.960180,-0.819654
smac3_bo,-0.865747,0.053521,0.023935,5/5,-0.960138,-0.834483
standard_disagreement,-0.847076,0.016243,0.007264,5/5,-0.864969,-0.828661
standard_proximity,-0.845073,0.013405,0.005995,5/5,-0.863423,-0.828264
shaker_entropy,-0.845037,0.014826,0.006630,5/5,-0.863423,-0.824172
proximity_bc,-0.844965,0.016961,0.007585,5/5,-0.863423,-0.828537
likelihood_credal,-0.843103,0.011741,0.005251,5/5,-0.863423,-0.833055
