Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
shaker_entropy,0.008822,0.000151,0.000067,5/5,0.008754,0.009091
likelihood_credal,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
smac3_bo,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
standard_proximity,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
proximity_bc,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
standard_disagreement,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
chen_variance,0.008956,0.000184,0.000082,5/5,0.008754,0.009091
proximity_b,0.009024,0.000151,0.000067,5/5,0.008754,0.009091
