Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
standard_disagreement,-0.984986,0.001556,0.000696,5/5,-0.986148,-0.982309
likelihood_credal,-0.983715,0.000997,0.000446,5/5,-0.984684,-0.982092
smac3_bo,-0.983456,0.000891,0.000398,5/5,-0.984788,-0.982371
proximity_bc,-0.983401,0.003030,0.001355,5/5,-0.987135,-0.980402
standard_proximity,-0.982965,0.003415,0.001527,5/5,-0.984977,-0.976911
proximity_b,-0.982944,0.002328,0.001041,5/5,-0.985199,-0.979359
shaker_entropy,-0.981740,0.003461,0.001548,5/5,-0.986374,-0.977014
chen_variance,-0.981712,0.002832,0.001267,5/5,-0.984342,-0.976993
